Geneid	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	length
gene-SYNPCC7002_RS08915	8	14	16	12	8	10	16	8	12	2	10	8	12	8	22	8	74
gene-SYNPCC7002_RS08920	547	478	582	574	210	295	348	288	150	171	215	216	197	304	194	265	468
gene-SYNPCC7002_RS16460	1423	811	923	1488	814	626	817	602	1415	411	915	589	1341	800	2033	752	97
gene-SYNPCC7002_RS08925	270	262	281	292	438	466	644	464	411	384	524	458	489	665	497	498	591
gene-SYNPCC7002_RS08930	314	259	218	258	511	628	761	561	492	422	513	488	391	496	333	439	1125
gene-SYNPCC7002_RS08935	1548	1466	1399	1310	1944	2397	2963	2324	1605	1592	2080	2148	2100	2857	2086	2122	957
gene-SYNPCC7002_RS08940	1164	957	1004	976	1617	2004	2865	2107	1299	1148	1754	1676	2091	2643	1903	2177	1707
gene-SYNPCC7002_RS08945	791	555	834	606	781	818	1036	863	591	564	790	691	686	797	679	690	759
gene-SYNPCC7002_RS08950	2196	1768	2289	2037	1778	2263	2705	2080	1570	1376	1965	2042	1377	1929	1339	1502	579
gene-SYNPCC7002_RS08955	797	821	786	867	674	775	952	978	682	661	823	851	998	1386	879	1016	639
gene-SYNPCC7002_RS08960	2754	2507	2459	2504	2588	3485	4715	3579	2035	2131	3025	2919	3595	4806	3691	3781	2211
gene-SYNPCC7002_RS08965	1016	1019	964	874	1014	1059	1384	1372	962	746	1034	1078	1167	1466	1058	1255	711
gene-SYNPCC7002_RS08970	701	633	609	538	783	800	1128	870	632	534	742	803	767	1038	732	909	774
gene-SYNPCC7002_RS08975	1064	983	810	804	1765	1883	2524	2590	1515	1463	1899	2067	2152	2889	1969	2583	858
gene-SYNPCC7002_RS08980	836	789	795	677	1160	1224	1605	1391	953	787	1219	1351	1292	1973	1310	1495	564
gene-SYNPCC7002_RS08985	3640	4481	4606	5137	616	786	970	685	647	474	763	883	912	1032	728	896	1245
gene-SYNPCC7002_RS08990	239	197	171	199	215	242	284	271	189	173	204	219	243	331	241	218	405
gene-SYNPCC7002_RS08995	1205	946	957	964	1340	1531	1960	1623	1080	1116	1497	1460	881	1334	880	981	627
gene-SYNPCC7002_RS09000	18226	15975	11672	14258	44008	46482	63333	40266	38377	30983	50274	46451	17785	23084	16484	18141	336
gene-SYNPCC7002_RS09005	29575	27152	18957	22599	59433	63112	88874	56361	52391	43077	68187	64231	25135	33829	24390	26334	405
gene-SYNPCC7002_RS09010	118430	106856	81355	96890	203020	259777	331136	204747	179030	180504	257457	233353	88822	119164	88626	91381	1416
gene-SYNPCC7002_RS09015	1171	824	860	724	3560	4503	6105	3905	2821	2920	3917	3876	2341	2767	1904	2182	708
gene-SYNPCC7002_RS09020	16011	12592	11339	11077	41709	45019	63846	46794	32715	30133	41386	44015	28076	34687	24503	29998	1986
gene-SYNPCC7002_RS09025	5810	4598	4181	4100	10630	11231	15170	11762	8873	7273	10680	11389	7104	9090	5966	7477	300
gene-SYNPCC7002_RS09030	13484	11320	10060	10736	20075	22284	31318	20857	16914	14849	22415	21335	13562	17704	11764	13937	339
gene-SYNPCC7002_RS09035	13788	11845	8986	9001	27694	31150	42512	29696	23105	21002	30548	30365	16368	20693	14951	17102	312
gene-SYNPCC7002_RS09040	664	499	479	441	788	929	1261	1041	564	521	691	779	496	525	405	567	1677
gene-SYNPCC7002_RS09045	9231	7541	7214	7661	15991	19215	25678	19735	12695	11986	16229	17003	10554	13031	9706	11087	1899
gene-SYNPCC7002_RS09050	4402	3440	3425	3332	8570	9694	13407	10737	6511	5918	8422	8802	5502	7005	4998	6060	1482
gene-SYNPCC7002_RS09055	3465	3064	3399	3224	5263	6481	8941	6730	4168	4031	5946	5669	3525	4756	3513	4074	1137
gene-SYNPCC7002_RS09060	1975	1859	2213	2205	1973	2328	2977	2209	1559	1549	2244	2116	2971	4132	2991	2973	1935
gene-SYNPCC7002_RS09065	2125	1751	1897	1900	1458	1752	2171	1851	1091	942	1514	1545	1347	1852	1310	1325	759
gene-SYNPCC7002_RS09070	4115	3432	3568	3434	4208	4406	6071	6233	3093	3202	3981	4316	3103	4397	3019	3705	1263
gene-SYNPCC7002_RS09075	5127	4663	4453	4504	5641	6312	8700	8655	4581	4956	6034	5996	4532	6071	4341	4859	1359
gene-SYNPCC7002_RS09080	3339	2762	2725	2611	4242	3957	5749	5805	3361	3034	4010	4351	3234	4583	3132	3812	774
gene-SYNPCC7002_RS09085	7933	7468	7504	7733	8888	9441	13503	12356	7360	7440	10102	9520	6902	10722	7564	7889	1440
gene-SYNPCC7002_RS09090	1271	1101	1323	1205	961	1047	1411	1473	784	667	905	926	1318	1909	1295	1574	657
gene-SYNPCC7002_RS09095	499	534	396	440	1101	1138	1569	1109	968	798	1197	1267	817	1133	627	908	834
gene-SYNPCC7002_RS09100	428	412	433	460	558	471	709	641	436	344	485	547	573	729	460	647	411
gene-SYNPCC7002_RS09110	1810	1670	1423	1483	1978	2395	3162	2349	1661	1528	2236	2311	1863	2433	1792	1955	1029
gene-SYNPCC7002_RS09115	506	453	386	431	592	760	894	681	491	435	655	647	442	711	493	517	483
gene-SYNPCC7002_RS09120	468	419	475	426	250	245	345	341	166	152	258	286	580	836	572	741	165
gene-SYNPCC7002_RS09125	918	737	661	664	2014	2097	2460	2147	1731	1630	1969	2388	1674	2048	1405	1782	597
gene-SYNPCC7002_RS09130	4382	4175	4038	4325	9379	10594	15418	8662	8444	7644	11380	10104	5889	8841	6512	6291	270
gene-SYNPCC7002_RS09135	4408	4291	3779	4371	8649	9509	12609	8357	7004	6067	9659	9214	5870	7501	6164	6380	480
gene-SYNPCC7002_RS09140	14959	12316	12331	12123	19592	20157	26764	22803	15836	13690	18403	20638	18079	23377	16368	20009	1056
gene-SYNPCC7002_RS17075	1184	1113	1239	1215	1662	2225	2988	2067	1377	1448	1944	1939	1814	2746	1879	1967	747
gene-SYNPCC7002_RS09150	8581	5053	2428	2473	87589	94534	125218	135002	57443	61440	80919	74296	39877	53658	37590	43396	1560
gene-SYNPCC7002_RS09155	7729	5953	6176	5806	9716	11874	15951	9674	9044	7890	10603	11496	6620	8881	5872	7332	1035
gene-SYNPCC7002_RS09160	249	201	182	189	734	730	1088	802	543	484	778	783	662	818	593	776	789
gene-SYNPCC7002_RS09165	518	464	430	465	725	912	1405	870	620	570	801	847	769	999	684	951	1665
gene-SYNPCC7002_RS09170	608	698	841	725	1329	1092	1698	1463	928	864	1265	1344	6129	8598	5875	6648	342
gene-SYNPCC7002_RS09175	653	589	547	534	1569	1533	1896	2046	1413	1082	1511	1819	2766	4382	2835	3581	957
gene-SYNPCC7002_RS09180	3496	3358	3553	3001	3482	4179	5351	4479	3039	2841	4031	3908	3022	4763	3092	3416	708
gene-SYNPCC7002_RS09185	264	257	255	391	343	303	436	165	237	214	396	182	222	242	224	140	96
gene-SYNPCC7002_RS09190	1779	1594	1430	1318	2700	3108	4211	3468	2189	2001	2613	2896	2709	3913	2786	2827	729
gene-SYNPCC7002_RS09195	1523	1418	1501	1263	1626	1669	2184	2004	1265	1266	1752	1675	2311	3561	2660	2787	426
gene-SYNPCC7002_RS09200	1593	1382	1381	1322	2315	2747	3844	2737	1882	1776	2589	2548	1755	2350	1721	1899	1218
gene-SYNPCC7002_RS09205	3432	2833	2124	2407	4218	4816	6555	4866	3729	3280	4458	5266	3164	3893	3081	3670	1965
gene-SYNPCC7002_RS09210	516	474	455	459	407	439	587	538	325	399	457	422	585	883	622	631	1350
gene-SYNPCC7002_RS09215	590	441	538	494	381	439	536	503	201	243	345	379	398	597	353	483	666
gene-SYNPCC7002_RS09220	993	737	672	672	2376	2523	3777	3150	1926	1730	2530	2325	2604	3871	2458	2800	597
gene-SYNPCC7002_RS09225	1095	1209	1058	1123	1328	1679	2087	1596	982	971	1350	1421	1402	1847	1433	1386	666
gene-SYNPCC7002_RS09230	4205	4264	4116	4150	3649	4440	6034	5359	3406	3279	4261	4670	8360	12163	8451	8860	1971
gene-SYNPCC7002_RS09235	13418	11978	11909	11991	8157	9086	13044	12492	7195	6339	8524	8775	12708	16591	12412	13404	1248
gene-SYNPCC7002_RS09240	3655	3285	3887	3697	2744	3209	4047	3600	2472	2263	2986	2849	2030	3045	2115	2257	273
gene-SYNPCC7002_RS09245	1432	1291	1576	1532	1807	2095	2833	2192	1604	1413	2041	2044	1473	2134	1518	1490	555
gene-SYNPCC7002_RS09250	6654	6462	6125	6463	7659	8821	12487	10021	7117	6695	9634	9439	8988	13270	9613	10205	597
gene-SYNPCC7002_RS09255	407	292	279	277	509	512	688	592	406	395	588	523	528	658	500	546	813
gene-SYNPCC7002_RS09260	1278	1152	1481	1298	2003	1797	2717	2269	1497	1253	1908	1867	1179	1831	1354	1348	618
gene-SYNPCC7002_RS09265	723	641	692	659	428	513	617	561	285	255	471	420	725	1057	660	720	279
gene-SYNPCC7002_RS09270	7251	6860	6543	6917	7532	7605	10277	8168	6799	5396	8012	8196	7783	10207	7236	7782	360
gene-SYNPCC7002_RS09275	1425	1155	1049	1080	1431	1245	1673	1832	1180	810	1222	1604	1239	1662	1242	1567	384
gene-SYNPCC7002_RS09280	492	472	342	352	731	856	1238	855	554	550	786	909	878	1117	730	870	1239
gene-SYNPCC7002_RS09285	248	278	208	271	500	528	815	519	394	390	605	547	431	643	455	455	621
gene-SYNPCC7002_RS09290	426	397	461	337	251	243	293	327	216	169	271	345	353	536	322	419	588
gene-SYNPCC7002_RS09295	616	508	547	505	682	810	1190	843	584	493	769	764	776	1082	801	784	2469
gene-SYNPCC7002_RS09300	151	127	88	118	316	340	463	337	232	187	312	375	267	382	255	275	846
gene-SYNPCC7002_RS09305	2317	2189	1925	2220	4756	5362	7210	5401	4296	3853	5714	5775	3982	5485	3886	4226	639
gene-SYNPCC7002_RS09310	1753	1713	2043	1958	2033	1939	2992	2428	1904	1426	2316	2372	1399	2098	1118	1547	1713
gene-SYNPCC7002_RS09315	855	642	919	726	442	546	701	552	372	342	505	481	372	503	294	417	1512
gene-SYNPCC7002_RS09320	1792	1659	1699	1765	1681	2194	2911	1919	1478	1478	2147	1982	1833	2535	1853	1838	681
gene-SYNPCC7002_RS09325	3384	3051	3386	3329	3451	3997	5607	3839	2954	2723	3907	3955	3817	5125	3619	3959	1803
gene-SYNPCC7002_RS09330	2813	2725	2542	2701	4890	5497	7815	5072	4331	3862	5791	5613	4207	6071	4387	4165	915
gene-SYNPCC7002_RS09335	534	436	514	494	596	682	1046	712	619	501	664	755	705	1011	661	724	780
gene-SYNPCC7002_RS09340	6985	6203	6021	5693	10157	11433	15099	13590	8280	7725	10431	10713	8108	10549	7315	8162	2334
gene-SYNPCC7002_RS09345	67	23	83	59	60	27	62	47	42	35	46	79	66	48	42	58	1503
gene-SYNPCC7002_RS09350	83	83	73	63	78	83	112	70	53	37	61	57	71	114	65	113	1725
gene-SYNPCC7002_RS09355	21	19	32	17	14	16	16	20	5	5	12	24	19	33	17	35	489
gene-SYNPCC7002_RS16690	27	46	46	52	19	13	16	35	25	12	34	17	27	30	25	18	639
gene-SYNPCC7002_RS09360	235	174	213	207	109	159	146	168	102	77	99	107	148	177	158	183	777
gene-SYNPCC7002_RS09365	156	145	124	106	90	89	145	152	81	60	122	102	144	180	90	160	651
gene-SYNPCC7002_RS09370	32	37	31	30	22	20	42	25	23	16	26	23	50	51	39	34	216
gene-SYNPCC7002_RS09375	59	46	51	28	29	40	68	53	25	32	45	28	48	72	51	57	483
gene-SYNPCC7002_RS09380	8	7	8	4	3	9	5	2	0	5	1	4	5	5	9	3	216
gene-SYNPCC7002_RS09385	7	4	8	0	8	2	7	7	0	6	13	4	5	12	4	2	294
gene-SYNPCC7002_RS16155	18	15	15	4	18	12	28	26	24	14	50	12	23	40	5	17	585
gene-SYNPCC7002_RS09395	1	3	1	0	4	2	6	5	9	0	8	2	4	1	1	3	249
gene-SYNPCC7002_RS09400	8	17	7	4	25	22	53	24	16	15	31	37	8	15	16	14	414
gene-SYNPCC7002_RS16695	5	4	4	2	21	8	22	3	20	5	18	12	3	5	5	11	144
gene-SYNPCC7002_RS16160	84	65	36	66	130	174	212	132	142	97	170	163	122	127	87	94	2148
gene-SYNPCC7002_RS09410	4	0	1	1	18	2	13	1	5	1	4	3	0	2	2	4	219
gene-SYNPCC7002_RS09415	3	0	1	0	9	2	3	4	2	1	5	6	3	3	3	2	222
gene-SYNPCC7002_RS09420	267	263	240	338	184	298	351	224	246	215	310	241	152	276	183	191	294
gene-SYNPCC7002_RS09425	115	132	130	135	139	144	193	140	111	114	148	144	119	167	100	110	186
gene-SYNPCC7002_RS09430	235	253	296	271	296	287	369	277	225	221	299	281	266	310	203	230	387
gene-SYNPCC7002_RS09435	477	486	484	566	396	496	570	456	362	338	488	490	448	532	325	376	213
gene-SYNPCC7002_RS09440	1052	798	932	780	249	335	358	335	212	234	251	245	362	444	329	338	624
gene-SYNPCC7002_RS16700	78	59	52	58	22	48	67	55	26	24	61	40	92	93	41	64	219
gene-SYNPCC7002_RS09450	35	30	16	17	38	32	55	52	43	37	50	58	13	44	30	50	1095
gene-SYNPCC7002_RS09455	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	72
gene-SYNPCC7002_RS09460	420	350	205	207	1390	1423	1816	1757	1018	825	1103	1387	845	956	660	903	771
gene-SYNPCC7002_RS09465	10950	9324	8923	8991	14103	16299	21184	19091	11115	11325	14529	14814	12810	16882	12346	13617	1119
gene-SYNPCC7002_RS09470	883	818	751	727	2175	2443	3186	2107	1992	1728	2546	2576	1491	2053	1485	1789	1542
gene-SYNPCC7002_RS09475	1907	1629	1780	1743	3288	4297	5366	2304	2710	2727	4173	2967	2575	3363	2157	2536	168
gene-SYNPCC7002_RS09480	637	529	514	540	886	1183	1460	1128	709	706	930	1007	675	980	659	751	1101
gene-SYNPCC7002_RS09485	2622	2520	2084	2108	6759	7553	10222	7075	6120	5386	7496	7847	5742	7814	5314	6023	804
gene-SYNPCC7002_RS09490	1748	1651	1669	1498	1837	2085	2840	2187	1810	1537	2251	2226	1968	2757	2118	2194	477
gene-SYNPCC7002_RS09495	1097	907	952	716	1296	1365	1730	1616	1077	964	1371	1536	1462	1969	1518	1758	795
gene-SYNPCC7002_RS09500	558	399	526	466	460	479	662	663	371	326	378	434	639	928	713	759	1563
gene-SYNPCC7002_RS09505	475	432	401	450	435	612	830	599	430	460	605	625	703	883	688	649	789
gene-SYNPCC7002_RS09510	778	711	718	747	1031	1122	1604	1050	769	756	1209	1128	1007	1307	926	1053	2139
gene-SYNPCC7002_RS09515	162	115	120	108	549	586	886	644	414	432	593	671	465	526	396	468	636
gene-SYNPCC7002_RS09520	3879	3372	2501	2489	8297	8048	11056	9340	7089	5777	8297	9022	8900	12347	8331	9945	1974
gene-SYNPCC7002_RS09525	1275	1179	1157	1084	1945	2257	3082	2251	1517	1365	2045	2113	1682	2411	1759	1897	594
gene-SYNPCC7002_RS09530	4758	4093	4081	4045	6722	8639	11191	8079	5947	5443	8051	7284	6443	8508	6097	6592	960
gene-SYNPCC7002_RS09535	289	213	184	135	355	339	497	462	322	231	290	408	245	371	291	313	696
gene-SYNPCC7002_RS09540	205	171	158	138	238	257	360	282	216	139	241	329	254	340	234	276	1371
gene-SYNPCC7002_RS16165	241	286	283	322	291	428	426	424	236	209	316	313	353	441	368	353	537
gene-SYNPCC7002_RS09550	527	431	466	438	502	521	594	694	386	291	451	491	490	646	478	675	312
gene-SYNPCC7002_RS09555	10818	10115	7395	9210	20404	26012	34977	21474	19577	18868	25730	26198	15211	21334	14358	15836	543
gene-SYNPCC7002_RS09560	17742	16279	12118	14976	33105	40351	54075	35080	30950	29090	42113	40013	24725	32324	23618	25193	978
gene-SYNPCC7002_RS09565	120	103	86	92	91	112	148	122	65	51	69	98	137	181	112	154	585
gene-SYNPCC7002_RS17085	198	157	130	135	201	200	324	243	144	128	131	213	194	261	214	270	327
gene-SYNPCC7002_RS09575	137	115	113	115	277	289	453	337	229	200	253	289	264	299	223	246	258
gene-SYNPCC7002_RS09580	326	300	318	280	769	811	1144	1054	607	491	708	930	623	845	578	797	477
gene-SYNPCC7002_RS09585	2805	2453	2618	2452	5201	5652	7814	5823	4455	3810	5541	5654	4483	6224	4439	4750	1356
gene-SYNPCC7002_RS09590	690	681	719	654	739	884	1236	734	848	617	925	981	751	1050	692	831	270
gene-SYNPCC7002_RS09595	549	472	492	395	651	764	927	620	685	488	733	853	609	902	612	625	669
gene-SYNPCC7002_RS09600	21273	17517	18462	18702	17351	20461	25956	21750	12324	12920	18266	15975	10495	13972	9547	9728	594
gene-SYNPCC7002_RS09605	1726	1409	1101	1216	2908	3221	4205	3425	2319	1991	2800	3063	2047	2631	1929	2158	810
gene-SYNPCC7002_RS09610	878	609	583	539	1347	1522	2347	1872	1152	967	1320	1526	1082	1300	973	1105	1158
gene-SYNPCC7002_RS09615	3522	2797	2391	2665	4723	5516	7013	5559	4001	3527	4863	5263	4110	5189	3559	4204	1017
gene-SYNPCC7002_RS09620	7055	5456	4879	4530	11162	10263	12213	14103	8566	6401	8294	11808	9142	11050	7116	10341	1758
gene-SYNPCC7002_RS09625	245	192	171	163	488	665	929	611	403	388	574	508	401	521	377	389	1029
gene-SYNPCC7002_RS09630	9764	8501	11109	10163	4346	5017	5389	5175	3768	2868	3935	4473	5170	7146	4735	5568	780
gene-SYNPCC7002_RS09635	1970	1731	1770	1690	1863	2037	2845	2475	1691	1562	1992	2258	4815	7250	4830	5564	981
gene-SYNPCC7002_RS09640	2398	2147	2175	1834	3344	3848	5004	3972	2824	2389	3403	3683	2978	4264	3100	3400	2235
gene-SYNPCC7002_RS09645	17004	13142	9652	10576	26344	28745	36434	24638	24945	19226	28298	30961	14754	18805	11511	15883	204
gene-SYNPCC7002_RS09650	96641	84116	59989	75666	190855	243363	303724	163784	191583	166325	246280	238267	91768	117631	90763	89573	486
gene-SYNPCC7002_RS09655	133251	112733	76882	95319	252491	322720	386072	228927	250303	220874	311113	325757	118438	151583	109694	124229	486
gene-SYNPCC7002_RS09660	575	449	578	544	501	678	947	616	396	419	615	623	559	747	550	487	861
gene-SYNPCC7002_RS09665	362	473	417	444	394	416	571	790	337	322	492	373	882	1422	878	1059	180
gene-SYNPCC7002_RS09670	2737	2708	2998	2653	2559	2463	3297	3353	2153	1904	2654	2779	3053	4721	3426	3468	873
gene-SYNPCC7002_RS09675	4702	4971	3964	4348	6477	6802	9518	8124	5606	5071	7084	7182	9474	13859	9130	10093	1416
gene-SYNPCC7002_RS09680	2489	2337	1902	1806	5888	6733	8745	6684	4824	4471	6364	6281	4996	6853	4848	5348	942
gene-SYNPCC7002_RS09685	673	525	637	528	434	523	631	520	442	329	491	530	411	495	326	474	396
gene-SYNPCC7002_RS09690	1331	1214	994	919	1383	1447	2126	1952	1065	953	1314	1608	1539	1980	1356	1761	2517
gene-SYNPCC7002_RS09695	261	257	290	337	217	270	350	180	165	181	247	187	265	349	251	232	192
gene-SYNPCC7002_RS09700	392	306	306	345	546	724	803	707	479	505	641	647	526	820	550	494	822
gene-SYNPCC7002_RS09705	1733	1851	1598	1991	2716	2890	3770	2672	2446	1782	2874	3235	1569	1961	1357	1663	228
gene-SYNPCC7002_RS09710	1261	1145	1299	1372	688	790	1049	763	598	541	823	706	647	1048	691	691	324
gene-SYNPCC7002_RS09715	394	394	252	399	560	613	944	861	631	518	739	788	709	1097	801	708	894
gene-SYNPCC7002_RS09720	78	79	77	88	122	148	194	136	103	94	104	115	83	139	108	118	414
gene-SYNPCC7002_RS09725	205	170	132	141	427	448	595	647	395	303	396	483	333	364	300	394	597
gene-SYNPCC7002_RS09730	295	299	332	343	379	503	625	492	354	268	410	451	363	462	373	399	657
gene-SYNPCC7002_RS09735	127	106	82	82	250	316	394	298	215	226	273	310	217	308	200	218	465
gene-SYNPCC7002_RS09740	1737	1717	1461	1550	1721	1944	2586	2451	1621	1502	2050	2211	3270	4753	3369	3930	1212
gene-SYNPCC7002_RS09745	4621	3642	3423	3094	2631	2636	3095	3305	1873	1504	2139	2565	2354	3128	2136	2719	519
gene-SYNPCC7002_RS09750	12760	10104	9515	9596	6377	7135	9051	8753	4867	4304	5880	6614	7292	9657	6153	7816	891
gene-SYNPCC7002_RS09755	757	628	686	710	887	1151	1573	1094	758	705	969	1076	956	1481	934	1162	1182
gene-SYNPCC7002_RS09760	2717	2722	2046	2462	1560	1906	2849	1504	1464	1288	1841	2027	1626	1987	1472	1538	774
gene-SYNPCC7002_RS09765	299	242	238	236	513	514	719	719	314	366	446	495	620	892	610	728	1317
gene-SYNPCC7002_RS09770	23792	21244	25365	25381	7981	9047	11977	10466	6642	5635	7814	7896	13061	16870	11166	13181	330
gene-SYNPCC7002_RS09775	1304	1144	1010	1015	1995	1979	2934	2115	1640	1246	1974	1905	1539	2167	1510	1604	540
gene-SYNPCC7002_RS09780	1144	995	942	943	1809	1741	2297	1939	1358	1083	1532	1865	1413	1998	1362	1719	711
gene-SYNPCC7002_RS09785	476	430	413	399	825	833	1248	977	705	539	750	870	750	997	706	799	945
gene-SYNPCC7002_RS09790	5211	4131	2621	3081	25480	24396	33462	23433	22122	17344	25367	29668	12108	16171	11700	14067	657
gene-SYNPCC7002_RS09795	4308	3437	2846	2888	25791	31364	43480	23224	24352	22207	34014	30238	12890	19235	13746	13468	771
gene-SYNPCC7002_RS16705	11	8	12	6	12	6	15	22	14	2	6	9	6	7	5	18	159
gene-SYNPCC7002_RS09800	600236	527071	470776	531668	625878	792731	1021252	639307	594203	527707	767821	787691	332065	416702	323565	349398	2220
gene-SYNPCC7002_RS09805	467853	424976	413687	478460	479556	686457	913661	495278	469880	475352	693531	610599	262838	348127	275196	263316	2202
gene-SYNPCC7002_RS09810	3336	2772	2479	2434	2416	2677	3905	3345	2060	1890	2789	2886	2868	4015	2539	3340	2202
gene-SYNPCC7002_RS09815	1891	1686	1612	1697	1801	1773	2604	2166	1488	1308	1891	2012	1746	2500	1574	2084	1122
gene-SYNPCC7002_RS09820	15503	13757	13637	13581	30797	31840	42935	29754	25596	20547	32521	31523	14146	19685	13162	14681	279
gene-SYNPCC7002_RS09825	1491	1442	1433	1286	2140	2502	3607	2622	1725	1653	2406	2369	2115	2893	1892	2036	1116
gene-SYNPCC7002_RS09830	597	612	590	670	566	615	802	652	458	390	630	659	685	981	628	671	771
gene-SYNPCC7002_RS09835	2148	2270	2248	2376	2641	3313	4234	2944	2322	2389	3144	3065	3293	4617	3283	3442	966
gene-SYNPCC7002_RS09840	4679	3582	3622	3251	3948	4063	5009	4716	3196	2589	3432	4231	3307	4583	2917	3976	555
gene-SYNPCC7002_RS09845	2250	1822	2095	1609	2713	2609	3685	3339	2285	1833	2392	3210	4133	6000	3726	4959	657
gene-SYNPCC7002_RS09850	1160	1130	1484	1355	1311	1906	2277	1748	1101	1178	1749	1663	2746	4461	3016	3053	576
gene-SYNPCC7002_RS09855	22073	22388	17625	19449	6666	6472	9454	8460	5497	5244	7695	6891	17450	22004	15313	17614	1605
gene-SYNPCC7002_RS09860	514	611	488	664	611	762	921	912	652	531	845	738	735	1141	770	771	522
gene-SYNPCC7002_RS09865	426	406	316	391	689	834	1007	790	581	493	722	840	735	1112	824	840	1338
gene-SYNPCC7002_RS09870	430	362	256	305	935	924	1302	993	766	615	825	1037	668	748	449	656	1227
gene-SYNPCC7002_RS09875	2182	1885	1660	1794	3823	4605	5799	4161	2947	2764	3848	3839	2674	3587	2444	2753	1779
gene-SYNPCC7002_RS09880	519	356	363	334	947	1079	1463	1020	706	685	1010	902	595	811	568	606	807
gene-SYNPCC7002_RS09885	2782	2456	2152	2110	4144	5111	6675	5034	3479	3337	4829	4817	3640	4922	3528	3798	3279
gene-SYNPCC7002_RS09890	6	6	2	10	8	4	10	8	12	4	8	6	6	2	14	2	74
gene-SYNPCC7002_RS09895	4172	3254	3195	3064	4991	6460	7828	5520	4395	3995	5587	5596	4327	5602	3689	4304	504
gene-SYNPCC7002_RS09900	949	715	820	786	1559	1884	2294	1926	1364	1150	1534	1856	1120	1599	1076	1406	435
gene-SYNPCC7002_RS09905	1435	1279	1568	1259	2317	2480	3460	2424	2058	1800	2657	2581	1686	2509	1805	1759	492
gene-SYNPCC7002_RS09910	420	318	345	296	1231	1506	2025	1468	1199	968	1371	1514	1122	1642	1004	1277	951
gene-SYNPCC7002_RS09915	975	848	699	752	1875	1978	2495	2362	1706	1517	1995	2352	1258	1880	1221	1563	612
gene-SYNPCC7002_RS09920	1331	944	899	820	1598	1634	1850	1980	1319	1104	1360	1615	1577	1905	1318	1679	324
gene-SYNPCC7002_RS09925	4425	3192	3566	3115	6699	7020	7786	7589	6161	4921	6270	7386	5797	6426	4734	5767	525
gene-SYNPCC7002_RS09930	64	67	68	73	127	175	222	134	97	100	126	138	85	132	67	96	843
gene-SYNPCC7002_RS09935	50	55	52	46	106	93	127	81	79	50	81	88	71	62	28	74	1398
gene-SYNPCC7002_RS09940	105	80	66	93	65	80	107	72	66	54	81	76	51	81	51	74	753
gene-SYNPCC7002_RS09945	149	142	117	105	104	150	181	141	133	70	102	154	71	104	94	76	1077
gene-SYNPCC7002_RS09950	322	222	221	232	261	239	284	237	156	136	236	213	314	366	295	370	402
gene-SYNPCC7002_RS09955	778	601	507	544	778	845	1154	1040	564	534	776	855	621	739	540	642	735
gene-SYNPCC7002_RS09960	194	107	102	98	279	278	296	206	183	174	240	230	159	184	138	200	702
gene-SYNPCC7002_RS09965	203	180	199	151	368	327	448	438	302	225	369	375	274	349	235	298	777
gene-SYNPCC7002_RS09970	6832	5193	4733	4265	5008	5841	7522	5581	4180	4035	5464	5557	4214	5459	3743	4434	750
gene-SYNPCC7002_RS09975	258	301	289	271	156	139	193	186	99	84	143	139	213	335	178	225	399
gene-SYNPCC7002_RS09980	229	202	306	321	137	105	163	163	111	95	100	100	167	250	170	148	195
gene-SYNPCC7002_RS09985	12537	10364	11878	11299	10268	11601	14851	12122	8828	7888	10871	11627	6241	8246	6018	6847	1581
gene-SYNPCC7002_RS09990	118	88	104	89	106	148	185	180	96	106	134	108	87	95	70	98	357
gene-SYNPCC7002_RS09995	1522	1556	1645	1810	1851	1909	2892	2243	1621	1352	2156	2020	1727	2158	1602	1674	1047
gene-SYNPCC7002_RS10000	468	391	530	446	563	526	672	729	482	351	488	576	498	679	478	530	558
gene-SYNPCC7002_RS10005	348	324	319	329	491	502	633	444	395	312	400	413	552	799	551	627	564
gene-SYNPCC7002_RS10010	622	491	456	450	853	885	1146	1003	726	636	859	894	888	1050	771	938	393
gene-SYNPCC7002_RS16170	1457	1334	1402	1448	1038	1119	1467	1268	859	783	1098	1139	1927	2802	1979	2152	495
gene-SYNPCC7002_RS10020	89091	75273	63128	73041	112967	149333	189026	115487	108361	98774	139233	141684	77018	96520	71694	78864	2661
gene-SYNPCC7002_RS10025	1915	1619	1350	1436	2432	2765	3779	2436	2251	1885	2632	3062	1778	2281	1569	1927	1200
gene-SYNPCC7002_RS10030	505	420	414	355	518	599	716	514	498	312	529	583	405	624	358	407	213
gene-SYNPCC7002_RS10035	736	654	638	512	565	511	810	591	513	335	466	627	503	713	478	600	222
gene-SYNPCC7002_RS10040	698	507	392	481	1771	1794	2915	1732	1439	1173	1844	1797	1203	1710	1208	1337	813
gene-SYNPCC7002_RS10050	17410	15834	18694	17863	15238	17655	22634	15752	13980	11931	17170	17534	12922	17026	11921	12894	1128
gene-SYNPCC7002_RS10055	1787	1399	1445	1181	745	798	1270	1176	573	505	687	702	994	1190	846	1056	2748
gene-SYNPCC7002_RS10060	151	127	157	120	144	94	141	154	93	73	68	103	88	103	82	131	381
gene-SYNPCC7002_RS10065	1317	1106	1269	1096	861	902	1160	1066	667	517	726	792	580	800	528	631	633
