database	geneset	geneset.name	cluster	genes	locus	Geneid	type	name	locus_tag	product
InterPro Domains	IPR000086	NUDIX hydrolase domain	cluster_11	mutT-2	SYNPCC7002_A0616	gene-SYNPCC7002_RS03070	protein_coding	SYNPCC7002_RS03070	SYNPCC7002_RS03070	NUDIX hydrolase
InterPro Domains	IPR001667	DDH domain	cluster_11	recJ	SYNPCC7002_A0980	gene-SYNPCC7002_RS04895	protein_coding	recJ	SYNPCC7002_RS04895	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR001667	DDH domain	cluster_11	recJ-2	SYNPCC7002_A1737	gene-SYNPCC7002_RS08705	protein_coding	recJ	SYNPCC7002_RS08705	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR003156	DHHA1 domain	cluster_11	recJ	SYNPCC7002_A0980	gene-SYNPCC7002_RS04895	protein_coding	recJ	SYNPCC7002_RS04895	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR003156	DHHA1 domain	cluster_11	recJ-2	SYNPCC7002_A1737	gene-SYNPCC7002_RS08705	protein_coding	recJ	SYNPCC7002_RS08705	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR004610	Bacterial RecJ exonuclease	cluster_11	recJ	SYNPCC7002_A0980	gene-SYNPCC7002_RS04895	protein_coding	recJ	SYNPCC7002_RS04895	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR004610	Bacterial RecJ exonuclease	cluster_11	recJ-2	SYNPCC7002_A1737	gene-SYNPCC7002_RS08705	protein_coding	recJ	SYNPCC7002_RS08705	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR020476	NUDIX hydrolase	cluster_11	mutT	SYNPCC7002_A0060	gene-SYNPCC7002_RS00305	protein_coding	mutT	SYNPCC7002_RS00305	8-oxo-dGTP diphosphatase MutT
InterPro Domains	IPR020476	NUDIX hydrolase	cluster_11	mutT-2	SYNPCC7002_A0616	gene-SYNPCC7002_RS03070	protein_coding	SYNPCC7002_RS03070	SYNPCC7002_RS03070	NUDIX hydrolase
InterPro Domains	IPR029119	Adenine DNA glycosylase, C-terminal	cluster_11	mutT	SYNPCC7002_A0060	gene-SYNPCC7002_RS00305	protein_coding	mutT	SYNPCC7002_RS00305	8-oxo-dGTP diphosphatase MutT
InterPro Domains	IPR029119	Adenine DNA glycosylase, C-terminal	cluster_11	mutY	SYNPCC7002_A2741	gene-SYNPCC7002_RS13550	protein_coding	mutY	SYNPCC7002_RS13550	A/G-specific adenine glycosylase
InterPro Domains	IPR038763	DHH phosphoesterase superfamily	cluster_11	recJ	SYNPCC7002_A0980	gene-SYNPCC7002_RS04895	protein_coding	recJ	SYNPCC7002_RS04895	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR038763	DHH phosphoesterase superfamily	cluster_11	recJ-2	SYNPCC7002_A1737	gene-SYNPCC7002_RS08705	protein_coding	recJ	SYNPCC7002_RS08705	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR041122	RecJ, OB domain	cluster_11	recJ	SYNPCC7002_A0980	gene-SYNPCC7002_RS04895	protein_coding	recJ	SYNPCC7002_RS04895	single-stranded-DNA-specific exonuclease RecJ
InterPro Domains	IPR041122	RecJ, OB domain	cluster_11	recJ-2	SYNPCC7002_A1737	gene-SYNPCC7002_RS08705	protein_coding	recJ	SYNPCC7002_RS08705	single-stranded-DNA-specific exonuclease RecJ
KEGG Pathways	syp03430	Mismatch repair	cluster_11	recJ	SYNPCC7002_A0980	gene-SYNPCC7002_RS04895	protein_coding	recJ	SYNPCC7002_RS04895	single-stranded-DNA-specific exonuclease RecJ
KEGG Pathways	syp03430	Mismatch repair	cluster_11	recJ-2	SYNPCC7002_A1737	gene-SYNPCC7002_RS08705	protein_coding	recJ	SYNPCC7002_RS08705	single-stranded-DNA-specific exonuclease RecJ
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA98263.1	SYNPCC7002_A0252	gene-SYNPCC7002_RS01250	protein_coding	SYNPCC7002_RS01250	SYNPCC7002_RS01250	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA99668.1	SYNPCC7002_A1679	gene-SYNPCC7002_RS08410	protein_coding	SYNPCC7002_RS08410	SYNPCC7002_RS08410	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACA99997.1	SYNPCC7002_A2011	gene-SYNPCC7002_RS10035	protein_coding	SYNPCC7002_RS10035	SYNPCC7002_RS10035	type II toxin-antitoxin system HicB family antitoxin
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
STRING Clusters	CL:4859	Nuclease, putative, TT1808, and Toxin-antitoxin complex	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACA98263.1	SYNPCC7002_A0252	gene-SYNPCC7002_RS01250	protein_coding	SYNPCC7002_RS01250	SYNPCC7002_RS01250	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACA99668.1	SYNPCC7002_A1679	gene-SYNPCC7002_RS08410	protein_coding	SYNPCC7002_RS08410	SYNPCC7002_RS08410	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
Pfam	PF05685	Putative restriction endonuclease	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACA98263.1	SYNPCC7002_A0252	gene-SYNPCC7002_RS01250	protein_coding	SYNPCC7002_RS01250	SYNPCC7002_RS01250	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACA99668.1	SYNPCC7002_A1679	gene-SYNPCC7002_RS08410	protein_coding	SYNPCC7002_RS08410	SYNPCC7002_RS08410	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
InterPro Domains	IPR008538	Putative restriction endonuclease	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACA98263.1	SYNPCC7002_A0252	gene-SYNPCC7002_RS01250	protein_coding	SYNPCC7002_RS01250	SYNPCC7002_RS01250	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACA99668.1	SYNPCC7002_A1679	gene-SYNPCC7002_RS08410	protein_coding	SYNPCC7002_RS08410	SYNPCC7002_RS08410	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
InterPro Domains	IPR011335	Restriction endonuclease type II-like	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACA98263.1	SYNPCC7002_A0252	gene-SYNPCC7002_RS01250	protein_coding	SYNPCC7002_RS01250	SYNPCC7002_RS01250	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACA99668.1	SYNPCC7002_A1679	gene-SYNPCC7002_RS08410	protein_coding	SYNPCC7002_RS08410	SYNPCC7002_RS08410	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
InterPro Domains	IPR012296	Nuclease, putative, TT1808	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACA98263.1	SYNPCC7002_A0252	gene-SYNPCC7002_RS01250	protein_coding	SYNPCC7002_RS01250	SYNPCC7002_RS01250	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
STRING Clusters	CL:4866	Nuclease, putative, TT1808	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
STRING Clusters	CL:4866	Nuclease, putative, TT1808	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
STRING Clusters	CL:4866	Nuclease, putative, TT1808	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
STRING Clusters	CL:4866	Nuclease, putative, TT1808	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
STRING Clusters	CL:4866	Nuclease, putative, TT1808	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
STRING Clusters	CL:4866	Nuclease, putative, TT1808	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
STRING Clusters	CL:4866	Nuclease, putative, TT1808	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
STRING Clusters	CL:4879	Nuclease, putative, TT1808	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
STRING Clusters	CL:4879	Nuclease, putative, TT1808	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
STRING Clusters	CL:4879	Nuclease, putative, TT1808	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
STRING Clusters	CL:4867	Nuclease, putative, TT1808	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
STRING Clusters	CL:4867	Nuclease, putative, TT1808	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
STRING Clusters	CL:4867	Nuclease, putative, TT1808	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACA98263.1	SYNPCC7002_A0252	gene-SYNPCC7002_RS01250	protein_coding	SYNPCC7002_RS01250	SYNPCC7002_RS01250	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACA98790.1	SYNPCC7002_A0786	gene-SYNPCC7002_RS03925	protein_coding	SYNPCC7002_RS03925	SYNPCC7002_RS03925	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACA99116.1	SYNPCC7002_A1116	gene-SYNPCC7002_RS05570	protein_coding	SYNPCC7002_RS05570	SYNPCC7002_RS05570	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACA99457.1	SYNPCC7002_A1466	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACA99655.1	SYNPCC7002_A1666	gene-SYNPCC7002_RS08345	protein_coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACA99668.1	SYNPCC7002_A1679	gene-SYNPCC7002_RS08410	protein_coding	SYNPCC7002_RS08410	SYNPCC7002_RS08410	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACA99744.1	SYNPCC7002_A1755	gene-SYNPCC7002_RS08790	protein_coding	SYNPCC7002_RS08790	SYNPCC7002_RS08790	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACB00029.1	SYNPCC7002_A2042	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
GO Cellular Component	GO:0016021	Integral component of membrane	cluster_12	ACB00809.1	SYNPCC7002_A2840	gene-SYNPCC7002_RS14030	protein_coding	SYNPCC7002_RS14030	SYNPCC7002_RS14030	Uma2 family endonuclease
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisIE	SYNPCC7002_A0488	gene-SYNPCC7002_RS02415	protein_coding	hisIE	SYNPCC7002_RS02415	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisG	SYNPCC7002_A0620	gene-SYNPCC7002_RS03090	protein_coding	hisG	SYNPCC7002_RS03090	ATP phosphoribosyltransferase
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisZ	SYNPCC7002_A0621	gene-SYNPCC7002_RS03095	protein_coding	SYNPCC7002_RS03095	SYNPCC7002_RS03095	ATP phosphoribosyltransferase regulatory subunit
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisF	SYNPCC7002_A1636	gene-SYNPCC7002_RS08190	protein_coding	hisF	SYNPCC7002_RS08190	imidazole glycerol phosphate synthase subunit HisF
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisA	SYNPCC7002_A1890	gene-SYNPCC7002_RS09460	protein_coding	hisA	SYNPCC7002_RS09460	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	ACA99890.1	SYNPCC7002_A1903	gene-SYNPCC7002_RS09525	protein_coding	SYNPCC7002_RS09525	SYNPCC7002_RS09525	HAD family hydrolase
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisB-2	SYNPCC7002_A1985	gene-SYNPCC7002_RS09915	protein_coding	hisB	SYNPCC7002_RS09915	imidazoleglycerol-phosphate dehydratase HisB
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisD	SYNPCC7002_A2049	gene-SYNPCC7002_RS10220	protein_coding	hisD	SYNPCC7002_RS10220	histidinol dehydrogenase
STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	cluster_13	hisH	SYNPCC7002_A2529	gene-SYNPCC7002_RS12540	protein_coding	hisH	SYNPCC7002_RS12540	imidazole glycerol phosphate synthase subunit HisH
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisIE	SYNPCC7002_A0488	gene-SYNPCC7002_RS02415	protein_coding	hisIE	SYNPCC7002_RS02415	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisG	SYNPCC7002_A0620	gene-SYNPCC7002_RS03090	protein_coding	hisG	SYNPCC7002_RS03090	ATP phosphoribosyltransferase
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisZ	SYNPCC7002_A0621	gene-SYNPCC7002_RS03095	protein_coding	SYNPCC7002_RS03095	SYNPCC7002_RS03095	ATP phosphoribosyltransferase regulatory subunit
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisF	SYNPCC7002_A1636	gene-SYNPCC7002_RS08190	protein_coding	hisF	SYNPCC7002_RS08190	imidazole glycerol phosphate synthase subunit HisF
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisA	SYNPCC7002_A1890	gene-SYNPCC7002_RS09460	protein_coding	hisA	SYNPCC7002_RS09460	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisB-2	SYNPCC7002_A1985	gene-SYNPCC7002_RS09915	protein_coding	hisB	SYNPCC7002_RS09915	imidazoleglycerol-phosphate dehydratase HisB
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisD	SYNPCC7002_A2049	gene-SYNPCC7002_RS10220	protein_coding	hisD	SYNPCC7002_RS10220	histidinol dehydrogenase
KEGG Pathways	syp00340	Histidine metabolism	cluster_13	hisH	SYNPCC7002_A2529	gene-SYNPCC7002_RS12540	protein_coding	hisH	SYNPCC7002_RS12540	imidazole glycerol phosphate synthase subunit HisH
UniProt Keywords	KW-0368	Histidine biosynthesis	cluster_13	hisIE	SYNPCC7002_A0488	gene-SYNPCC7002_RS02415	protein_coding	hisIE	SYNPCC7002_RS02415	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
UniProt Keywords	KW-0368	Histidine biosynthesis	cluster_13	hisG	SYNPCC7002_A0620	gene-SYNPCC7002_RS03090	protein_coding	hisG	SYNPCC7002_RS03090	ATP phosphoribosyltransferase
UniProt Keywords	KW-0368	Histidine biosynthesis	cluster_13	hisZ	SYNPCC7002_A0621	gene-SYNPCC7002_RS03095	protein_coding	SYNPCC7002_RS03095	SYNPCC7002_RS03095	ATP phosphoribosyltransferase regulatory subunit
UniProt Keywords	KW-0368	Histidine biosynthesis	cluster_13	hisF	SYNPCC7002_A1636	gene-SYNPCC7002_RS08190	protein_coding	hisF	SYNPCC7002_RS08190	imidazole glycerol phosphate synthase subunit HisF
UniProt Keywords	KW-0368	Histidine biosynthesis	cluster_13	hisA	SYNPCC7002_A1890	gene-SYNPCC7002_RS09460	protein_coding	hisA	SYNPCC7002_RS09460	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
UniProt Keywords	KW-0368	Histidine biosynthesis	cluster_13	hisB-2	SYNPCC7002_A1985	gene-SYNPCC7002_RS09915	protein_coding	hisB	SYNPCC7002_RS09915	imidazoleglycerol-phosphate dehydratase HisB
