cluster	database	geneset	geneset.name	no.genes	no.background	pvalue	FDR	cluster.size
cluster_2	STRING Clusters	CL:1678	His Kinase A (phosphoacceptor) domain, and cheY-homologous receiver domain	21	21	3.3100000000000003e-22	1.78e-20	88
cluster_2	GO Biological Process	GO:0016310	Phosphorylation	30	109	3.11e-19	2.16e-17	88
cluster_2	STRING Clusters	CL:1763	Mixed, incl. Taxis, and Signal transduction response regulator, heterocyst pattern formation, PatA	17	17	4.62e-18	2.3e-16	88
cluster_2	GO Molecular Function	GO:0140096	Catalytic activity, acting on a protein	36	200	6.14e-18	4.08e-16	88
cluster_2	GO Molecular Function	GO:0016740	Transferase activity	51	467	9.34e-18	5.59e-16	88
cluster_2	UniProt Keywords	KW-0418	Kinase	25	81	5.82e-17	6.23e-15	88
cluster_2	STRING Clusters	CL:1681	PAS domain, and MASE1	15	15	5.1e-16	2.36e-14	88
cluster_2	InterPro Domains	IPR000014	PAS domain	15	15	5.1e-16	6.72e-14	88
cluster_2	InterPro Domains	IPR035965	PAS domain superfamily	15	15	5.1e-16	6.72e-14	88
cluster_2	UniProt Keywords	KW-0175	Coiled coil	35	227	1.69e-15	1.2e-13	88
cluster_2	SMART Domains	SM00065	Domain present in phytochromes and cGMP-specific phosphodiesterases.	14	17	3.24e-14	8.59e-13	88
cluster_2	SMART Domains	SM00091	PAS domain	13	13	5.4e-14	1.14e-12	88
cluster_2	SMART Domains	SM00086	Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)	12	12	5.48e-13	9.67e-12	88
cluster_2	STRING Clusters	CL:1764	Mixed, incl. Taxis, and Transducer	12	12	5.48e-13	2.36e-11	88
cluster_2	InterPro Domains	IPR003018	GAF domain	13	16	3.27e-13	3.53e-11	88
cluster_2	InterPro Domains	IPR000700	PAS-associated, C-terminal	12	12	5.48e-13	5.41e-11	88
cluster_2	InterPro Domains	IPR029016	GAF-like domain superfamily	13	18	9.48e-13	8.65e-11	88
cluster_2	InterPro Domains	IPR039420	Transcriptional regulatory protein WalR-like	12	13	1.03e-12	8.7e-11	88
cluster_2	GO Biological Process	GO:0006355	Regulation of transcription, DNA-templated	21	97	1.04e-11	6.41e-10	88
cluster_2	InterPro Domains	IPR000160	GGDEF domain	11	12	1.03e-11	8.14e-10	88
cluster_2	InterPro Domains	IPR043128	Reverse transcriptase/Diguanylate cyclase domain	11	12	1.03e-11	8.14e-10	88
cluster_2	InterPro Domains	IPR029787	Nucleotide cyclase	11	13	1.85e-11	1.29e-9	88
cluster_2	SMART Domains	SM00267	Diguanylate cyclase	10	11	1.02e-10	1.55e-9	88
cluster_2	STRING Clusters	CL:1684	PAC motif, and MASE1	10	10	5.49e-11	2.22e-9	88
cluster_2	GO Biological Process	GO:0006793	Phosphorus metabolic process	32	275	5.05e-11	2.44e-9	88
cluster_2	GO Biological Process	GO:0006796	Phosphate-containing compound metabolic process	31	261	7.07e-11	3.28e-9	88
cluster_2	COMPARTMENTS	GOCC:0030428	Cell septum	11	13	1.85e-11	4.86e-9	88
cluster_2	UniProt Keywords	KW-0902	Two-component regulatory system	10	11	1.02e-10	5.47e-9	88
cluster_2	SMART Domains	SM00862	Transcriptional regulatory protein, C terminal	9	9	5.44e-10	7.21e-9	88
cluster_2	InterPro Domains	IPR001610	PAC motif	9	9	5.44e-10	3.58e-8	88
cluster_2	InterPro Domains	IPR001867	OmpR/PhoB-type DNA-binding domain	9	9	5.44e-10	3.58e-8	88
cluster_2	InterPro Domains	IPR013655	PAS fold-3	9	9	5.44e-10	3.58e-8	88
cluster_2	STRING Clusters	CL:1799	GGDEF domain	9	10	1.01e-9	3.84e-8	88
cluster_2	SMART Domains	SM00052	Putative diguanylate phosphodiesterase	8	8	5.36e-9	6.31e-8	88
cluster_2	InterPro Domains	IPR001633	EAL domain	8	8	5.36e-9	3.02e-7	88
cluster_2	InterPro Domains	IPR035919	EAL domain superfamily	8	8	5.36e-9	3.02e-7	88
cluster_2	UniProt Keywords	KW-0805	Transcription regulation	12	42	3.32e-8	1.42e-6	88
cluster_2	InterPro Domains	IPR036388	Winged helix-like DNA-binding domain superfamily	13	53	3.99e-8	2.06e-6	88
cluster_2	SMART Domains	SM00260	Two component signalling adaptor domain	6	6	5.14e-7	5.45e-6	88
cluster_2	SMART Domains	SM00304	HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain	6	6	5.14e-7	5.45e-6	88
cluster_2	InterPro Domains	IPR016032	Signal transduction response regulator, C-terminal effector	7	9	1.67e-7	8.24e-6	88
cluster_2	GO Molecular Function	GO:0060089	Molecular transducer activity	7	9	1.67e-7	9.08e-6	88
cluster_2	GO Biological Process	GO:0006935	Chemotaxis	6	6	5.14e-7	1.63e-5	88
cluster_2	STRING Clusters	CL:1745	OmpR/PhoB-type DNA-binding domain, and PAS fold-4	6	6	5.14e-7	1.85e-5	88
cluster_2	STRING Clusters	CL:1766	HPT domain superfamily, and Taxis	6	6	5.14e-7	1.85e-5	88
cluster_2	InterPro Domains	IPR002545	CheW-like domain	6	6	5.14e-7	2.44e-5	88
cluster_2	InterPro Domains	IPR003660	HAMP domain	6	6	5.14e-7	2.44e-5	88
cluster_2	InterPro Domains	IPR036061	CheW-like domain superfamily	6	6	5.14e-7	2.44e-5	88
cluster_2	GO Molecular Function	GO:0003677	DNA binding	19	157	6.16e-7	3.07e-5	88
cluster_2	UniProt Keywords	KW-0238	DNA-binding	13	75	1.36e-6	4.17e-5	88
cluster_2	SMART Domains	SM00073	Histidine Phosphotransfer domain	5	5	5.04e-6	4.45e-5	88
cluster_2	UniProt Keywords	KW-0808	Transferase	27	342	5.07e-6	1.4e-4	88
cluster_2	STRING Clusters	CL:1686	PAC motif, and MASE1	5	5	5.04e-6	1.6e-4	88
cluster_2	STRING Clusters	CL:1735	OmpR/PhoB-type DNA-binding domain, and His Kinase A (phosphoacceptor) domain	5	5	5.04e-6	1.6e-4	88
cluster_2	STRING Clusters	CL:1787	Signal transduction response regulator, heterocyst pattern formation, PatA, and Taxis	5	5	5.04e-6	1.6e-4	88
cluster_2	STRING Clusters	CL:1801	GGDEF domain	5	5	5.04e-6	1.6e-4	88
cluster_2	GO Biological Process	GO:0009987	Cellular process	73	1705	5.81e-6	1.7e-4	88
cluster_2	InterPro Domains	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	5	5	5.04e-6	2.1e-4	88
cluster_2	InterPro Domains	IPR036641	HPT domain superfamily	5	5	5.04e-6	2.1e-4	88
cluster_2	InterPro Domains	IPR016132	Phytochrome chromophore attachment domain	5	6	9.02e-6	3.6e-4	88
cluster_2	SMART Domains	SM00421	Helix_turn_helix, Lux Regulon	4	6	1.4e-4	0.0012	88
cluster_2	GO Biological Process	GO:0046777	Protein autophosphorylation	4	4	4.98e-5	0.0014	88
cluster_2	InterPro Domains	IPR013656	PAS fold-4	4	4	4.98e-5	0.0019	88
cluster_2	InterPro Domains	IPR024186	Signal transduction response regulator, heterocyst pattern formation, PatA	4	4	4.98e-5	0.0019	88
cluster_2	GO Molecular Function	GO:0009927	Histidine phosphotransfer kinase activity	4	4	4.98e-5	0.0023	88
cluster_2	SMART Domains	SM00283	Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).	3	3	5e-4	0.0038	88
cluster_2	InterPro Domains	IPR000792	Transcription regulator LuxR, C-terminal	4	6	1.4e-4	0.0051	88
cluster_2	UniProt Keywords	KW-0807	Transducer	3	3	5e-4	0.0119	88
cluster_2	GO Cellular Component	GO:0005887	Integral component of plasma membrane	7	40	4.3e-4	0.0163	88
cluster_2	GO Cellular Component	GO:0016020	Membrane	46	985	7.4e-4	0.0163	88
cluster_2	GO Cellular Component	GO:0016021	Integral component of membrane	38	689	1.1e-4	0.0163	88
cluster_2	GO Cellular Component	GO:0032993	protein-DNA complex	6	21	1.1e-4	0.0163	88
cluster_2	GO Cellular Component	GO:0110165	Cellular anatomical entity	81	2158	1.5e-4	0.0163	88
cluster_2	InterPro Domains	IPR004089	Methyl-accepting chemotaxis protein (MCP) signalling domain	3	3	5e-4	0.0174	88
cluster_2	InterPro Domains	IPR007895	MASE1	3	3	5e-4	0.0174	88
cluster_2	GO Molecular Function	GO:0004888	Transmembrane signaling receptor activity	3	3	5e-4	0.0214	88
cluster_2	SMART Domains	SM01231	Signal transducing histidine kinase, homodimeric domain	2	2	0.0052	0.0368	88
cluster_20	STRING Clusters	CL:3041	UMP biosynthetic process	9	12	9.15e-20	5.92e-17	10
cluster_20	KEGG Pathways	syp00240	Pyrimidine metabolism	9	25	1.63e-17	1.58e-15	10
cluster_20	GO Biological Process	GO:0006221	Pyrimidine nucleotide biosynthetic process	8	18	6.82e-16	7.59e-13	10
cluster_20	GO Biological Process	GO:0006222	UMP biosynthetic process	7	10	8.02e-15	2.24e-12	10
cluster_20	UniProt Keywords	KW-0665	Pyrimidine biosynthesis	7	12	2.07e-14	4.44e-12	10
cluster_20	GO Biological Process	GO:0044205	De novo UMP biosynthetic process	6	9	1.46e-12	1.25e-10	10
cluster_20	GO Biological Process	GO:0019856	Pyrimidine nucleobase biosynthetic process	5	7	1.3e-10	7.25e-9	10
cluster_20	STRING Clusters	CL:3044	De novo UMP biosynthetic process	4	7	2.56e-8	2.76e-6	10
cluster_20	GO Biological Process	GO:0006207	De novo pyrimidine nucleobase biosynthetic process	3	5	1.76e-6	4.66e-5	10
cluster_20	InterPro Domains	IPR000836	Phosphoribosyltransferase domain	4	9	5.52e-8	6.55e-5	10
cluster_20	InterPro Domains	IPR029057	Phosphoribosyltransferase-like	4	9	5.52e-8	6.55e-5	10
cluster_20	KEGG Pathways	syp01100	Metabolic pathways	9	550	3.55e-6	1.7e-4	10
cluster_20	UniProt Keywords	KW-0328	Glycosyltransferase	4	27	2.36e-6	2.5e-4	10
cluster_20	Pfam	PF00156	Phosphoribosyl transferase domain	3	6	2.63e-6	0.0013	10
cluster_20	InterPro Domains	IPR013785	Aldolase-type TIM barrel	4	50	2.28e-5	0.009	10
cluster_20	Pfam	PF01180	Dihydroorotate dehydrogenase	2	2	6.71e-5	0.0162	10
cluster_20	InterPro Domains	IPR001754	Orotidine 5-phosphate decarboxylase domain	2	2	6.71e-5	0.0199	10
cluster_20	InterPro Domains	IPR004467	Orotate phosphoribosyl transferase domain	2	2	6.71e-5	0.0199	10
cluster_20	InterPro Domains	IPR005720	Dihydroorotate dehydrogenase domain	2	2	6.71e-5	0.0199	10
cluster_20	InterPro Domains	IPR012135	Dihydroorotate dehydrogenase, class 1/ 2	2	2	6.71e-5	0.0199	10
cluster_20	InterPro Domains	IPR023031	Orotate phosphoribosyltransferase	2	2	6.71e-5	0.0199	10
cluster_20	GO Molecular Function	GO:0004151	Dihydroorotase activity	2	2	6.71e-5	0.021	10
cluster_20	GO Molecular Function	GO:0004152	Dihydroorotate dehydrogenase activity	2	2	6.71e-5	0.021	10
cluster_20	GO Molecular Function	GO:0004588	Orotate phosphoribosyltransferase activity	2	2	6.71e-5	0.021	10
cluster_20	GO Molecular Function	GO:0004590	orotidine-5-phosphate decarboxylase activity	2	2	6.71e-5	0.021	10
cluster_20	GO Molecular Function	GO:0016757	Glycosyltransferase activity	4	80	1.3e-4	0.021	10
cluster_20	GO Molecular Function	GO:0016763	Pentosyltransferase activity	3	17	3.5e-5	0.021	10
cluster_20	UniProt Keywords	KW-0210	Decarboxylase	2	9	6.1e-4	0.0433	10
cluster_21	STRING Clusters	CL:4863	Nuclease, putative, TT1808, and Domain of unknown function DUF4351	9	18	1.47e-19	9.51e-17	9
cluster_21	Pfam	PF05685	Putative restriction endonuclease	9	26	2.21e-18	1.07e-15	9
cluster_21	STRING Clusters	CL:4866	Nuclease, putative, TT1808	8	12	1.11e-17	1.85e-15	9
cluster_21	InterPro Domains	IPR008538	Putative restriction endonuclease	9	26	2.21e-18	2.63e-15	9
cluster_21	InterPro Domains	IPR011335	Restriction endonuclease type II-like	9	30	6.65e-18	2.63e-15	9
cluster_21	InterPro Domains	IPR012296	Nuclease, putative, TT1808	9	26	2.21e-18	2.63e-15	9
cluster_21	STRING Clusters	CL:4867	Nuclease, putative, TT1808	5	6	3.82e-11	2.06e-9	9
cluster_21	STRING Clusters	CL:4879	Nuclease, putative, TT1808	3	5	1.23e-6	6.14e-5	9
cluster_21	GO Cellular Component	GO:0016021	Integral component of membrane	9	689	3.23e-6	4.6e-4	9
cluster_22	STRING Clusters	CL:2845	Homologous recombination, and DNA damage	8	44	6.57e-14	4.25e-11	9
cluster_22	GO Biological Process	GO:0006259	DNA metabolic process	9	96	9.43e-14	1.05e-10	9
cluster_22	STRING Clusters	CL:2846	DNA damage, and Mismatch repair	7	29	1.03e-12	2.21e-10	9
cluster_22	STRING Clusters	CL:2877	Mixed, incl. Nucleotide excision repair, and DNA helicase, ATP-dependent, RecQ type	6	11	1.44e-12	2.34e-10	9
cluster_22	GO Molecular Function	GO:0140640	Catalytic activity, acting on a nucleic acid	9	161	8.26e-12	4.95e-9	9
cluster_22	GO Molecular Function	GO:0140097	Catalytic activity, acting on DNA	7	54	5.28e-11	1.58e-8	9
cluster_22	GO Molecular Function	GO:0003676	Nucleic acid binding	9	315	3.04e-9	6.07e-7	9
cluster_22	GO Molecular Function	GO:0003677	DNA binding	7	157	6.3e-8	9.43e-6	9
cluster_22	GO Cellular Component	GO:0005694	Chromosome	4	18	3.36e-7	4.8e-5	9
cluster_22	UniProt Keywords	KW-0234	DNA repair	4	22	6.83e-7	1.5e-4	9
cluster_22	UniProt Keywords	KW-0238	DNA-binding	5	75	1.83e-6	1.5e-4	9
cluster_22	STRING Clusters	CL:2879	DNA helicase, ATP-dependent, RecQ type, and Damaged DNA binding	3	5	1.23e-6	1.6e-4	9
cluster_22	GO Cellular Component	GO:0030894	Replisome	3	7	2.64e-6	1.9e-4	9
cluster_22	KEGG Pathways	syp03410	Base excision repair	3	9	4.82e-6	4.7e-4	9
cluster_22	GO Biological Process	GO:0006281	DNA repair	4	39	5.5e-6	6.1e-4	9
cluster_22	GO Molecular Function	GO:0140657	ATP-dependent activity	5	108	1.03e-5	8.8e-4	9
cluster_22	UniProt Keywords	KW-0235	DNA replication	3	17	2.46e-5	0.0013	9
cluster_22	GO Molecular Function	GO:0004386	Helicase activity	3	19	3.32e-5	0.0025	9
cluster_22	GO Biological Process	GO:0071103	DNA conformation change	3	19	3.32e-5	0.0028	9
cluster_22	GO Molecular Function	GO:0008094	ATP-dependent activity, acting on DNA	3	21	4.35e-5	0.0029	9
cluster_22	COMPARTMENTS	GOCC:0030894	Replisome	3	15	1.77e-5	0.0046	9
cluster_22	GO Molecular Function	GO:0043167	Ion binding	8	697	1e-4	0.006	9
cluster_22	GO Biological Process	GO:0006260	DNA replication	3	30	1.2e-4	0.0076	9
cluster_22	GO Cellular Component	GO:0043590	Bacterial nucleoid	2	7	3.2e-4	0.0091	9
cluster_22	GO Molecular Function	GO:0003684	Damaged DNA binding	2	5	1.9e-4	0.0097	9
cluster_22	GO Molecular Function	GO:0003916	DNA topoisomerase activity	2	7	3.2e-4	0.0147	9
cluster_22	GO Biological Process	GO:0006265	DNA topological change	2	7	3.2e-4	0.0178	9
cluster_22	KEGG Pathways	syp03420	Nucleotide excision repair	2	8	4e-4	0.0193	9
cluster_22	UniProt Keywords	KW-0863	Zinc-finger	2	10	5.8e-4	0.025	9
cluster_22	COMPARTMENTS	GOCC:0043590	Bacterial nucleoid	2	9	4.9e-4	0.0255	9
cluster_22	GO Biological Process	GO:0006261	DNA-templated DNA replication	2	10	5.8e-4	0.0282	9
cluster_22	UniProt Keywords	KW-0862	Zinc	3	62	8.8e-4	0.0313	9
cluster_22	KEGG Pathways	syp03030	DNA replication	2	14	0.0011	0.034	9
cluster_22	KEGG Pathways	syp03430	Mismatch repair	2	16	0.0013	0.034	9
cluster_22	KEGG Pathways	syp03440	Homologous recombination	2	19	0.0018	0.0355	9
cluster_22	UniProt Keywords	KW-0347	Helicase	2	15	0.0012	0.0364	9
cluster_23	STRING Clusters	CL:215	Mostly uncharacterized, incl. Nucleotide-excision repair, and RNA 3-end processing	6	25	8.48e-11	5.49e-8	9
cluster_23	STRING Clusters	CL:219	Mostly uncharacterized, incl. Ycf66 protein N-terminus, and Protein of unknown function DUF1997	4	18	3.36e-7	6.47e-5	9
cluster_23	STRING Clusters	CL:240	Mixed, incl. Uncharacterised protein family Ycf35, and PspA/IM30	2	5	1.9e-4	0.0134	9
cluster_24	STRING Clusters	CL:3284	Histidine metabolism, and Inositol monophosphatase, metal-binding site	9	14	2.56e-20	1.66e-17	9
cluster_24	KEGG Pathways	syp00340	Histidine metabolism	8	9	2.15e-18	2.08e-16	9
cluster_24	UniProt Keywords	KW-0368	Histidine biosynthesis	8	10	3.86e-18	8.27e-16	9
cluster_24	GO Biological Process	GO:0000105	Histidine biosynthetic process	8	9	2.15e-18	2.39e-15	9
cluster_24	STRING Clusters	CL:3287	Histidine metabolism	6	7	2.01e-13	3.25e-11	9
cluster_24	KEGG Pathways	syp01230	Biosynthesis of amino acids	8	90	1.35e-11	6.57e-10	9
cluster_24	UniProt Keywords	KW-0963	Cytoplasm	8	229	1.8e-8	1.28e-6	9
cluster_24	KEGG Pathways	syp01110	Biosynthesis of secondary metabolites	8	263	5.28e-8	1.71e-6	9
cluster_24	KEGG Pathways	syp01100	Metabolic pathways	9	550	4.32e-7	1.05e-5	9
cluster_24	GO Biological Process	GO:0044238	Primary metabolic process	9	972	7.01e-5	0.0048	9
cluster_24	GO Cellular Component	GO:0005737	Cytoplasm	9	931	4.77e-5	0.0068	9
cluster_24	GO Molecular Function	GO:0016763	Pentosyltransferase activity	3	17	2.46e-5	0.0148	9
cluster_24	GO Molecular Function	GO:0000107	Imidazoleglycerol-phosphate synthase activity	2	2	5.37e-5	0.0161	9
cluster_24	GO Biological Process	GO:0071704	Organic substance metabolic process	9	1220	5.4e-4	0.0332	9
cluster_25	STRING Clusters	CL:1244	Mixed, incl. NO signalling/Golgi transport ligand-binding domain superfamily, and P450-containing electron transport chain	5	11	3.59e-10	2.32e-7	9
cluster_25	STRING Clusters	CL:1247	NO signalling/Golgi transport ligand-binding domain superfamily, and P450-containing electron transport chain	3	5	1.23e-6	2e-4	9
cluster_25	SMART Domains	SM00729	Elongator protein 3, MiaB family, Radical SAM	3	15	1.77e-5	0.0019	9
cluster_25	InterPro Domains	IPR023404	Radical SAM, alpha/beta horseshoe	3	7	2.64e-6	0.0031	9
cluster_25	InterPro Domains	IPR006638	Elp3/MiaA/NifB-like, radical SAM core domain	3	14	1.48e-5	0.0088	9
cluster_25	InterPro Domains	IPR007197	Radical SAM	3	20	3.81e-5	0.0151	9
cluster_25	InterPro Domains	IPR024096	NO signalling/Golgi transport ligand-binding domain superfamily	2	2	5.37e-5	0.0159	9
cluster_25	InterPro Domains	IPR045784	Radical SAM domain-containing protein, N-terminal	2	2	5.37e-5	0.0159	9
cluster_26	STRING Clusters	CL:3243	Phenylalanine, tyrosine and tryptophan biosynthesis	8	21	3.78e-16	2.44e-13	9
cluster_26	UniProt Keywords	KW-0822	Tryptophan biosynthesis	6	6	1.08e-13	2.32e-11	9
cluster_26	STRING Clusters	CL:3269	Tryptophan biosynthesis	6	6	1.08e-13	2.34e-11	9
cluster_26	GO Biological Process	GO:0000162	Tryptophan biosynthetic process	6	6	1.08e-13	1.2e-10	9
cluster_26	KEGG Pathways	syp00400	Phenylalanine, tyrosine and tryptophan biosynthesis	6	19	2.05e-11	1.99e-9	9
cluster_26	KEGG Pathways	syp01230	Biosynthesis of amino acids	6	90	1.01e-7	4.88e-6	9
cluster_26	GO Biological Process	GO:0019752	Carboxylic acid metabolic process	7	215	5.22e-7	3.42e-5	9
cluster_26	UniProt Keywords	KW-0456	Lyase	5	75	1.83e-6	9.8e-5	9
cluster_26	GO Biological Process	GO:0044249	Cellular biosynthetic process	8	556	1.77e-5	7.6e-4	9
cluster_26	KEGG Pathways	syp01110	Biosynthesis of secondary metabolites	6	263	4.57e-5	0.0015	9
cluster_26	GO Molecular Function	GO:0016829	Lyase activity	5	106	9.4e-6	0.0056	9
cluster_26	KEGG Pathways	syp01100	Metabolic pathways	7	550	2.7e-4	0.0066	9
cluster_26	InterPro Domains	IPR011060	Ribulose-phosphate binding barrel	3	11	7.95e-6	0.0094	9
cluster_26	GO Biological Process	GO:0044237	Cellular metabolic process	9	1191	4.3e-4	0.0154	9
cluster_26	GO Molecular Function	GO:0004048	Anthranilate phosphoribosyltransferase activity	2	2	5.37e-5	0.0161	9
cluster_26	GO Molecular Function	GO:0004834	Tryptophan synthase activity	2	2	5.37e-5	0.0161	9
cluster_26	Pfam	PF00425	Chorismate binding enzyme	2	3	8.94e-5	0.0259	9
cluster_26	Pfam	PF00591	Glycosyl transferase family, a/b domain	2	2	5.37e-5	0.0259	9
cluster_26	Pfam	PF02885	Glycosyl transferase family, helical bundle domain	2	2	5.37e-5	0.0259	9
cluster_26	Pfam	PF04715	Anthranilate synthase component I, N terminal region	2	2	5.37e-5	0.0259	9
cluster_26	COMPARTMENTS	GOCC:0005622	Intracellular	9	1011	9.97e-5	0.0261	9
cluster_26	InterPro Domains	IPR000312	Glycosyl transferase, family 3	2	2	5.37e-5	0.0318	9
cluster_26	InterPro Domains	IPR005801	ADC synthase	2	3	8.94e-5	0.0318	9
cluster_26	InterPro Domains	IPR005940	Anthranilate phosphoribosyl transferase	2	2	5.37e-5	0.0318	9
cluster_26	InterPro Domains	IPR006805	Anthranilate synthase component I, N-terminal	2	2	5.37e-5	0.0318	9
cluster_26	InterPro Domains	IPR015890	Chorismate-utilising enzyme, C-terminal	2	3	8.94e-5	0.0318	9
cluster_26	InterPro Domains	IPR017459	Glycosyl transferase family 3, N-terminal domain	2	2	5.37e-5	0.0318	9
cluster_26	InterPro Domains	IPR019999	Anthranilate synthase component I-like	2	2	5.37e-5	0.0318	9
cluster_26	InterPro Domains	IPR035902	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily	2	2	5.37e-5	0.0318	9
cluster_26	InterPro Domains	IPR036320	Glycosyl transferase family 3, N-terminal domain superfamily	2	2	5.37e-5	0.0318	9
cluster_26	KEGG Pathways	syp00260	Glycine, serine and threonine metabolism	2	19	0.0018	0.0355	9
cluster_27	STRING Clusters	CL:882	Mixed, incl. Protein-containing complex organization, and Transmembrane helix	8	71	2.26e-12	1.46e-9	9
cluster_27	STRING Clusters	CL:886	Mostly uncharacterized, incl. Protein-containing complex assembly, and Photosystem II	7	60	1.05e-10	3.39e-8	9
cluster_27	STRING Clusters	CL:954	Mostly uncharacterized, incl. Protein of unknown function DUF760, and Organelle envelope	4	26	1.24e-6	1.3e-4	9
cluster_27	STRING Clusters	CL:887	Mostly uncharacterized, incl. Photosystem II assembly, and Hydrocarbon metabolic process	3	34	1.6e-4	0.0151	9
cluster_27	STRING Clusters	CL:897	Mixed, incl. Tab2-like, and tRNA 5-leader removal	2	5	1.9e-4	0.0151	9
cluster_27	STRING Clusters	CL:972	Mixed, incl. Ribonucleoside-diphosphate reductase activity, and Organelle envelope	2	5	1.9e-4	0.0151	9
cluster_28	STRING Clusters	CL:1266	Mixed, incl. Antiporter activity, and Proton-conducting membrane transporter	9	20	3.1400000000000002e-19	2.03e-16	9
cluster_28	STRING Clusters	CL:1268	Mixed, incl. Antiporter activity, and Regulation of nitrogen utilization	8	10	3.86e-18	1.25e-15	9
cluster_28	STRING Clusters	CL:1272	Antiporter activity, and Proton-conducting membrane transporter	5	5	2.09e-11	2.7e-9	9
cluster_28	GO Molecular Function	GO:0015297	Antiporter activity	4	11	6.33e-8	3.79e-5	9
cluster_28	UniProt Keywords	KW-1133	Transmembrane helix	9	602	9.67e-7	2.1e-4	9
cluster_28	GO Cellular Component	GO:0016021	Integral component of membrane	9	689	3.23e-6	4.6e-4	9
cluster_28	GO Biological Process	GO:0055085	Transmembrane transport	7	235	9.5e-7	0.0011	9
cluster_28	GO Biological Process	GO:0006811	Ion transport	5	105	8.99e-6	0.0033	9
cluster_28	GO Molecular Function	GO:0022857	Transmembrane transporter activity	5	201	1.9e-4	0.0288	9
cluster_28	GO Molecular Function	GO:0015299	Solute:proton antiporter activity	2	8	4e-4	0.0398	9
cluster_29	STRING Clusters	CL:90	Mixed, incl. Coiled coil, and Transmembrane helix	8	109	6.73e-12	4.35e-9	8
cluster_29	STRING Clusters	CL:264	Mostly uncharacterized, incl. AbrB-like transcriptional regulator, and Rho termination factor, N-terminal domain	6	22	1.46e-11	4.56e-9	8
cluster_29	STRING Clusters	CL:266	Mostly uncharacterized, incl. AbrB-like transcriptional regulator, and Rho termination factor, N-terminal domain	5	14	4.26e-10	3.94e-8	8
cluster_29	STRING Clusters	CL:268	Mostly uncharacterized, incl. AbrB-like transcriptional regulator	3	6	1.24e-6	9.99e-5	8
cluster_29	STRING Clusters	CL:116	Mixed, incl. Regulation of endocytosis, and SpoVT-AbrB domain superfamily	2	5	1.5e-4	0.0105	8
cluster_29	Pfam	PF14250	AbrB-like transcriptional regulator	2	2	4.18e-5	0.0202	8
cluster_29	InterPro Domains	IPR007159	SpoVT-AbrB domain	2	3	6.96e-5	0.0496	8
cluster_29	InterPro Domains	IPR027360	AbrB-like transcriptional regulator	2	2	4.18e-5	0.0496	8
cluster_3	STRING Clusters	CL:881	Mixed, incl. Photosynthesis, and Photosynthesis	59	124	5.0700000000000006e-70	3.2799999999999995e-67	63
cluster_3	STRING Clusters	CL:1023	Photosynthesis	38	53	2.01e-44	4.3399999999999996e-42	63
cluster_3	GO Biological Process	GO:0015979	Photosynthesis	43	111	2.3899999999999998e-42	2.66e-39	63
cluster_3	KEGG Pathways	syp00195	Photosynthesis	35	57	1.06e-38	1.03e-36	63
cluster_3	STRING Clusters	CL:1024	Photosystem, and Electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	33	44	2.32e-38	3.75e-36	63
cluster_3	GO Cellular Component	GO:0009521	Photosystem	32	42	3.0499999999999998e-37	4.3699999999999997e-35	63
cluster_3	STRING Clusters	CL:1025	Photosystem	31	38	1.25e-36	1.6199999999999998e-34	63
cluster_3	COMPARTMENTS	GOCC:0009579	Thylakoid	36	77	1.22e-36	3.2e-34	63
cluster_3	GO Cellular Component	GO:0009579	Thylakoid	40	126	6.54e-36	4.6799999999999996e-34	63
cluster_3	GO Cellular Component	GO:0030075	Bacterial thylakoid	37	106	5.38e-34	2.5699999999999997e-32	63
cluster_3	GO Cellular Component	GO:0034357	Photosynthetic membrane	37	119	1.8999999999999998e-32	6.799999999999999e-31	63
cluster_3	GO Cellular Component	GO:0031676	Plasma membrane-derived thylakoid membrane	34	97	6.84e-31	1.9600000000000002e-29	63
cluster_3	GO Cellular Component	GO:0042651	Thylakoid membrane	35	114	2.95e-30	4.6800000000000004e-29	63
cluster_3	COMPARTMENTS	GOCC:0034357	Photosynthetic membrane	31	67	7.1499999999999995e-31	9.37e-29	63
cluster_3	UniProt Keywords	KW-0793	Thylakoid	33	87	8.57e-31	1.83e-28	63
cluster_3	UniProt Keywords	KW-0602	Photosynthesis	29	59	2.63e-29	2.82e-27	63
cluster_3	GO Cellular Component	GO:0098796	Membrane protein complex	33	107	2.4e-28	3.4300000000000005e-27	63
cluster_3	COMPARTMENTS	GOCC:0009521	Photosystem	26	38	6.47e-29	5.6500000000000005e-27	63
cluster_3	GO Cellular Component	GO:0043229	Intracellular organelle	40	259	3.87e-25	5.03e-24	63
cluster_3	GO Cellular Component	GO:0009523	Photosystem II	20	29	4.06e-22	3.8700000000000004e-21	63
cluster_3	STRING Clusters	CL:887	Mostly uncharacterized, incl. Photosystem II assembly, and Hydrocarbon metabolic process	20	34	4.290000000000001e-21	4.62e-19	63
cluster_3	STRING Clusters	CL:1028	Photosystem II	17	21	1.18e-19	1.09e-17	63
