Geneid	Chr	Start	End	Strand	Length	15percent_7002-5_CO2-RNA-seq	15percent_7002-6_CO2-RNA-seq	15percent_7002-7_CO2-RNA-seq	15percent_7002-8_CO2-RNA-seq	1percent_7002-1_CO2-RNA-seq	1percent_7002-2_CO2-RNA-seq	1percent_7002-3_CO2-RNA-seq	1percent_7002-4_CO2-RNA-seq
gene-SYNPCC7002_RS08875	NC_010475.1	1858693	1860201	+	1509	1077	881	1053	2307	2699	2366	1710	2635
gene-SYNPCC7002_RS08880	NC_010475.1	1860244	1861104	+	861	1146	750	1174	2154	2522	2035	1574	2505
gene-SYNPCC7002_RS08885	NC_010475.1	1861121	1861351	+	231	443	328	357	889	1445	1169	778	1269
gene-SYNPCC7002_RS08890	NC_010475.1	1861348	1861734	+	387	459	400	444	875	1389	1124	712	1422
gene-SYNPCC7002_RS08895	NC_010475.1	1861754	1862386	+	633	650	515	553	1181	1955	1608	1131	2047
gene-SYNPCC7002_RS08900	NC_010475.1	1862467	1864125	+	1659	480	426	463	997	1362	1016	726	1168
gene-SYNPCC7002_RS08905	NC_010475.1	1864128	1864421	+	294	49	41	48	126	159	153	63	146
gene-SYNPCC7002_RS08915	NC_010475.1	1865822	1865895	-	74	0	4	2	6	18	2	6	6
gene-SYNPCC7002_RS08920	NC_010475.1	1866011	1866478	+	468	386	432	470	829	748	547	424	667
gene-SYNPCC7002_RS16460	NC_010475.1	1866516	1866612	+	97	85	92	128	213	247	149	73	172
gene-SYNPCC7002_RS08925	NC_010475.1	1866640	1867230	-	591	1136	985	1151	2093	2124	1407	1061	1706
gene-SYNPCC7002_RS08930	NC_010475.1	1867289	1868413	-	1125	880	811	824	1691	1892	1320	971	1528
gene-SYNPCC7002_RS08935	NC_010475.1	1868604	1869560	+	957	3989	3273	3992	7676	6344	4988	3477	5684
gene-SYNPCC7002_RS08940	NC_010475.1	1869583	1871289	+	1707	4115	3603	4202	8488	7025	5148	3363	6411
gene-SYNPCC7002_RS08945	NC_010475.1	1871305	1872063	-	759	1606	1436	1497	3068	2548	3043	2264	3425
gene-SYNPCC7002_RS08950	NC_010475.1	1872093	1872671	-	579	2420	2270	2631	4872	4218	4793	3432	5956
gene-SYNPCC7002_RS08955	NC_010475.1	1872850	1873488	-	639	1114	961	1260	2624	2710	2266	1383	2571
gene-SYNPCC7002_RS08960	NC_010475.1	1873571	1875781	+	2211	5472	4740	5358	11381	13473	10920	7222	12956
gene-SYNPCC7002_RS08965	NC_010475.1	1875912	1876622	+	711	1357	1253	1377	2874	3468	2652	1661	2723
gene-SYNPCC7002_RS08970	NC_010475.1	1876632	1877405	+	774	1546	1214	1363	2814	3777	2756	1901	3149
gene-SYNPCC7002_RS08975	NC_010475.1	1877417	1878274	+	858	4205	3249	3753	7812	8925	6496	4703	7745
gene-SYNPCC7002_RS08980	NC_010475.1	1878330	1878893	+	564	1577	1227	1602	2909	3778	2810	2142	2896
gene-SYNPCC7002_RS08985	NC_010475.1	1878995	1880239	-	1245	2046	1780	1688	3683	3351	1177	865	1354
gene-SYNPCC7002_RS08990	NC_010475.1	1880460	1880864	-	405	313	312	308	702	842	560	443	656
gene-SYNPCC7002_RS08995	NC_010475.1	1881122	1881748	-	627	2696	1992	2500	4317	5797	4178	3333	4810
gene-SYNPCC7002_RS09000	NC_010475.1	1881910	1882245	-	336	78773	62161	79674	141100	55015	38564	33079	46970
gene-SYNPCC7002_RS09005	NC_010475.1	1882276	1882680	-	405	88689	71866	83994	161946	57231	40685	35417	55133
gene-SYNPCC7002_RS09010	NC_010475.1	1882749	1884164	-	1416	509333	412622	453145	879293	348668	238819	183553	302684
gene-SYNPCC7002_RS09015	NC_010475.1	1884637	1885344	-	708	9055	6631	8291	16160	5082	3358	2792	3263
gene-SYNPCC7002_RS09020	NC_010475.1	1885447	1887432	-	1986	112666	83407	102490	180943	63923	41753	37938	44926
gene-SYNPCC7002_RS09025	NC_010475.1	1887567	1887866	-	300	23939	19689	22323	47202	19712	12844	10683	13849
gene-SYNPCC7002_RS09030	NC_010475.1	1887902	1888240	-	339	24743	19840	22088	46751	21763	14269	10724	14753
gene-SYNPCC7002_RS09035	NC_010475.1	1888337	1888648	-	312	43208	33080	39492	86784	42963	27486	19744	29568
gene-SYNPCC7002_RS09040	NC_010475.1	1889003	1890679	-	1677	1401	1273	1571	3106	2003	1826	1288	2054
gene-SYNPCC7002_RS09045	NC_010475.1	1891086	1892984	+	1899	34532	29693	34928	66613	40947	38744	26707	46683
gene-SYNPCC7002_RS09050	NC_010475.1	1893039	1894520	+	1482	18997	16656	20221	35414	19962	18780	13552	21681
gene-SYNPCC7002_RS09055	NC_010475.1	1894552	1895688	+	1137	10219	8537	10052	18800	12138	11133	8244	13358
gene-SYNPCC7002_RS09060	NC_010475.1	1895785	1897719	-	1935	2983	2611	3004	6524	6721	4585	3053	5635
gene-SYNPCC7002_RS09065	NC_010475.1	1898002	1898760	+	759	2178	2113	2289	4547	5337	3767	2781	4680
gene-SYNPCC7002_RS09070	NC_010475.1	1898811	1900073	-	1263	8717	7276	8513	16199	23331	15797	10544	20785
gene-SYNPCC7002_RS09075	NC_010475.1	1900131	1901489	-	1359	10711	8909	10300	18097	24859	17444	11568	21385
gene-SYNPCC7002_RS09080	NC_010475.1	1901492	1902265	-	774	6088	4991	5927	12197	15370	11197	6932	13530
gene-SYNPCC7002_RS09085	NC_010475.1	1902332	1903771	-	1440	13134	11439	14004	26462	33571	25524	16978	30327
gene-SYNPCC7002_RS09090	NC_010475.1	1903950	1904606	+	657	989	1035	1086	2520	2927	1995	1283	2390
gene-SYNPCC7002_RS09095	NC_010475.1	1904620	1905453	-	834	1539	1278	1340	2807	2490	1839	1348	2114
gene-SYNPCC7002_RS09100	NC_010475.1	1905561	1905971	-	411	771	906	971	2048	1251	1100	795	1469
gene-SYNPCC7002_RS09110	NC_010475.1	1906267	1907295	+	1029	4102	3219	3842	7457	8229	5597	4133	7003
gene-SYNPCC7002_RS09115	NC_010475.1	1907330	1907812	+	483	1096	800	1030	1888	2173	1473	1250	1732
gene-SYNPCC7002_RS09120	NC_010475.1	1907960	1908124	-	165	229	218	242	630	855	448	294	333
gene-SYNPCC7002_RS09125	NC_010475.1	1908353	1908949	+	597	3899	3530	3915	8166	8486	6868	4584	7872
gene-SYNPCC7002_RS09130	NC_010475.1	1909095	1909364	+	270	4809	4333	5094	8910	8125	5930	4716	7116
gene-SYNPCC7002_RS09135	NC_010475.1	1909380	1909859	+	480	24048	22846	24003	48066	39862	29243	23132	38475
gene-SYNPCC7002_RS09140	NC_010475.1	1910084	1911139	+	1056	33598	29027	33323	68354	53384	44897	31107	54217
gene-SYNPCC7002_RS17075	NC_010475.1	1912521	1913267	+	747	3898	3234	3971	7707	5280	4438	3185	4936
gene-SYNPCC7002_RS09150	NC_010475.1	1913448	1915007	+	1560	111536	113361	160552	311714	123563	138613	93563	161504
gene-SYNPCC7002_RS09155	NC_010475.1	1915691	1916725	+	1035	20546	17983	20537	40333	20198	28459	21709	35518
gene-SYNPCC7002_RS09160	NC_010475.1	1916949	1917737	+	789	2000	1436	1656	3411	3081	2235	1624	2498
gene-SYNPCC7002_RS09165	NC_010475.1	1917694	1919358	+	1665	1934	1506	1560	3446	3358	2671	1860	2821
gene-SYNPCC7002_RS09170	NC_010475.1	1919456	1919797	-	342	2509	2067	2056	5144	6389	4334	3499	4890
gene-SYNPCC7002_RS09175	NC_010475.1	1919984	1920940	-	957	2995	2326	2903	5029	9328	3286	2353	4199
gene-SYNPCC7002_RS09180	NC_010475.1	1921248	1921955	-	708	4586	4113	4758	10677	16669	12202	8090	14480
gene-SYNPCC7002_RS09185	NC_010475.1	1922239	1922334	+	96	570	713	808	1704	1341	920	726	955
gene-SYNPCC7002_RS09190	NC_010475.1	1922413	1923141	-	729	4453	3978	4143	9507	10167	6586	4684	8345
gene-SYNPCC7002_RS09195	NC_010475.1	1923305	1923730	-	426	2694	2387	2539	6199	7573	5125	3563	6147
gene-SYNPCC7002_RS09200	NC_010475.1	1924388	1925605	+	1218	4926	3585	4415	8116	5272	3878	3296	4773
gene-SYNPCC7002_RS09205	NC_010475.1	1925703	1927667	-	1965	11384	9902	11095	21765	12268	11765	8300	14666
gene-SYNPCC7002_RS09210	NC_010475.1	1927805	1929154	-	1350	500	507	610	1270	1569	1179	785	1470
gene-SYNPCC7002_RS09215	NC_010475.1	1929285	1929950	-	666	790	692	718	1583	2059	1354	1165	1771
gene-SYNPCC7002_RS09220	NC_010475.1	1930070	1930666	+	597	2959	2573	3177	6158	5442	4853	3854	5098
gene-SYNPCC7002_RS09225	NC_010475.1	1930663	1931328	-	666	2211	1899	2014	4488	6646	3967	2813	4702
gene-SYNPCC7002_RS09230	NC_010475.1	1931403	1933373	-	1971	8440	6695	7514	16219	39522	16529	10599	19615
gene-SYNPCC7002_RS09235	NC_010475.1	1933490	1934737	-	1248	13898	12118	14107	31375	51659	41216	24557	53118
gene-SYNPCC7002_RS09240	NC_010475.1	1935566	1935838	+	273	2981	3091	3181	8053	7103	7244	4259	9296
gene-SYNPCC7002_RS09245	NC_010475.1	1935874	1936428	+	555	2207	1986	2115	4454	4111	3898	2702	4381
gene-SYNPCC7002_RS09250	NC_010475.1	1936507	1937103	+	597	12613	11002	12144	26874	35371	25830	17183	31452
gene-SYNPCC7002_RS09255	NC_010475.1	1937157	1937969	-	813	825	624	759	1748	2511	1892	1273	2285
gene-SYNPCC7002_RS09260	NC_010475.1	1938280	1938897	+	618	2333	2037	2247	4556	4007	4129	2960	4469
gene-SYNPCC7002_RS09265	NC_010475.1	1938991	1939269	-	279	605	614	663	1446	2149	1521	1018	1895
gene-SYNPCC7002_RS09270	NC_010475.1	1939549	1939908	+	360	7068	6052	7052	15108	12687	8750	6330	9759
gene-SYNPCC7002_RS09275	NC_010475.1	1939914	1940297	+	384	1911	1894	2164	4730	4084	2742	1957	3385
gene-SYNPCC7002_RS09280	NC_010475.1	1940317	1941555	-	1239	1634	1311	1520	3373	2875	1872	1276	2178
gene-SYNPCC7002_RS09285	NC_010475.1	1941559	1942179	-	621	749	615	731	1395	1378	976	719	997
gene-SYNPCC7002_RS09290	NC_010475.1	1942251	1942838	-	588	372	399	387	957	1132	916	540	1085
gene-SYNPCC7002_RS09295	NC_010475.1	1943024	1945492	+	2469	1250	981	1134	2343	2394	1734	1214	1883
gene-SYNPCC7002_RS09300	NC_010475.1	1945489	1946334	-	846	653	449	546	893	1159	833	606	824
gene-SYNPCC7002_RS09305	NC_010475.1	1946574	1947212	+	639	6737	5922	6759	14374	17886	14950	9779	17958
gene-SYNPCC7002_RS09310	NC_010475.1	1947253	1948965	-	1713	2583	2438	3164	5975	5209	4651	3428	6328
gene-SYNPCC7002_RS09315	NC_010475.1	1949292	1950803	-	1512	688	839	895	1869	1193	1506	1062	1809
gene-SYNPCC7002_RS09320	NC_010475.1	1951045	1951725	+	681	2570	2263	2277	4992	5957	4506	3068	4767
gene-SYNPCC7002_RS09325	NC_010475.1	1951742	1953544	+	1803	7010	5850	6654	13137	15933	11507	7893	13095
gene-SYNPCC7002_RS09330	NC_010475.1	1953606	1954520	+	915	7616	5697	6757	13764	16966	11894	8231	14165
gene-SYNPCC7002_RS09335	NC_010475.1	1954591	1955370	+	780	879	743	809	1662	2807	1771	1330	2559
gene-SYNPCC7002_RS09340	NC_010475.1	1955720	1958053	+	2334	19443	16544	19522	37769	44110	35061	24733	38334
gene-SYNPCC7002_RS09345	NC_010475.1	1958435	1959937	-	1503	85	83	68	191	190	176	116	142
gene-SYNPCC7002_RS09350	NC_010475.1	1959937	1961661	-	1725	89	74	96	182	284	190	134	204
gene-SYNPCC7002_RS09355	NC_010475.1	1961946	1962434	-	489	39	16	22	56	47	38	30	56
gene-SYNPCC7002_RS16690	NC_010475.1	1962480	1963118	-	639	20	11	23	30	36	16	18	28
gene-SYNPCC7002_RS09360	NC_010475.1	1963536	1964312	+	777	204	172	213	409	356	322	228	361
gene-SYNPCC7002_RS09365	NC_010475.1	1964365	1965015	+	651	157	148	189	378	327	267	128	293
gene-SYNPCC7002_RS09370	NC_010475.1	1965019	1965234	+	216	48	32	29	89	96	62	52	57
gene-SYNPCC7002_RS09375	NC_010475.1	1965225	1965707	+	483	56	50	40	108	132	87	69	125
gene-SYNPCC7002_RS09380	NC_010475.1	1965704	1965919	+	216	8	6	7	14	15	3	12	13
gene-SYNPCC7002_RS09385	NC_010475.1	1965916	1966209	+	294	8	5	8	9	15	14	9	12
gene-SYNPCC7002_RS16155	NC_010475.1	1966322	1966906	+	585	29	29	23	59	96	62	58	35
gene-SYNPCC7002_RS09395	NC_010475.1	1966909	1967157	+	249	1	1	0	4	4	5	2	6
gene-SYNPCC7002_RS09400	NC_010475.1	1967160	1967573	-	414	23	20	28	52	43	45	41	56
gene-SYNPCC7002_RS16695	NC_010475.1	1967564	1967707	-	144	20	18	19	24	23	22	16	32
gene-SYNPCC7002_RS16160	NC_010475.1	1967700	1969847	-	2148	203	216	179	441	610	329	294	397
gene-SYNPCC7002_RS09410	NC_010475.1	1969931	1970149	-	219	4	12	7	13	15	14	7	8
gene-SYNPCC7002_RS09415	NC_010475.1	1970136	1970357	-	222	4	6	4	9	23	9	18	12
gene-SYNPCC7002_RS09420	NC_010475.1	1970481	1970774	+	294	313	300	311	676	774	545	393	669
gene-SYNPCC7002_RS09425	NC_010475.1	1970778	1970963	+	186	220	192	234	539	496	370	242	488
gene-SYNPCC7002_RS09430	NC_010475.1	1970995	1971381	+	387	481	419	540	916	942	822	539	852
gene-SYNPCC7002_RS09435	NC_010475.1	1971443	1971655	+	213	207	219	239	517	718	599	365	521
gene-SYNPCC7002_RS09440	NC_010475.1	1971691	1972314	-	624	595	651	651	1223	1181	930	767	1218
gene-SYNPCC7002_RS16700	NC_010475.1	1972587	1972805	+	219	72	73	41	175	128	108	77	112
gene-SYNPCC7002_RS09450	NC_010475.1	1972756	1973850	-	1095	57	48	45	108	153	164	72	121
gene-SYNPCC7002_RS09455	NC_010475.1	1973986	1974057	-	72	6	4	4	2	6	0	2	2
gene-SYNPCC7002_RS09460	NC_010475.1	1974117	1974887	+	771	1861	1591	1683	3432	4288	3613	2484	3057
gene-SYNPCC7002_RS09465	NC_010475.1	1975021	1976139	+	1119	24212	20196	23845	50385	59182	44770	31958	53966
gene-SYNPCC7002_RS09470	NC_010475.1	1976242	1977783	-	1542	4445	3626	3967	8045	9319	6817	4911	7859
gene-SYNPCC7002_RS09475	NC_010475.1	1978013	1978180	-	168	3009	3224	4022	7248	6458	3646	3143	3585
gene-SYNPCC7002_RS09480	NC_010475.1	1978393	1979493	+	1101	2056	1795	1909	3742	4032	4158	3066	5024
gene-SYNPCC7002_RS09485	NC_010475.1	1979838	1980641	+	804	13489	11004	11774	25872	23092	16228	11547	19125
gene-SYNPCC7002_RS09490	NC_010475.1	1980935	1981411	+	477	2846	2281	2221	5221	10316	7651	4894	8654
gene-SYNPCC7002_RS09495	NC_010475.1	1981468	1982262	+	795	3362	2824	3196	6483	11037	8542	5485	10380
gene-SYNPCC7002_RS09500	NC_010475.1	1982296	1983858	+	1563	872	694	762	1636	2227	1795	1225	1951
gene-SYNPCC7002_RS09505	NC_010475.1	1983914	1984702	+	789	1175	920	1037	1932	1715	1221	1022	1404
gene-SYNPCC7002_RS09510	NC_010475.1	1984715	1986853	-	2139	1632	1456	1671	3642	3088	2515	1866	2949
gene-SYNPCC7002_RS09515	NC_010475.1	1986876	1987511	-	636	857	611	773	1493	1624	1542	1175	1628
gene-SYNPCC7002_RS09520	NC_010475.1	1987631	1989604	-	1974	13574	10199	12335	26343	28722	32926	26703	34409
gene-SYNPCC7002_RS09525	NC_010475.1	1989724	1990317	-	594	3639	3295	3608	7086	6646	4656	3462	5407
gene-SYNPCC7002_RS09530	NC_010475.1	1990310	1991269	-	960	16154	13439	15703	30754	26008	19058	13707	23164
gene-SYNPCC7002_RS09535	NC_010475.1	1991352	1992047	+	696	809	718	734	1713	1864	1292	1009	1492
gene-SYNPCC7002_RS09540	NC_010475.1	1992044	1993414	-	1371	365	283	340	807	1263	1038	736	1106
gene-SYNPCC7002_RS16165	NC_010475.1	1993940	1994476	-	537	507	407	471	834	1358	890	572	1115
gene-SYNPCC7002_RS09550	NC_010475.1	1994461	1994772	-	312	522	451	672	1109	1831	1058	813	1219
gene-SYNPCC7002_RS09555	NC_010475.1	1995000	1995542	+	543	45919	36749	43152	87568	74564	57470	38400	67725
gene-SYNPCC7002_RS09560	NC_010475.1	1995593	1996570	+	978	75925	57289	68299	125869	99445	80927	58811	93012
gene-SYNPCC7002_RS09565	NC_010475.1	1996620	1997204	-	585	91	132	155	282	360	229	172	333
gene-SYNPCC7002_RS17085	NC_010475.1	1997286	1997612	-	327	257	204	210	518	422	333	180	382
gene-SYNPCC7002_RS09575	NC_010475.1	1997694	1997951	-	258	364	360	449	870	998	700	433	657
gene-SYNPCC7002_RS09580	NC_010475.1	1997955	1998431	-	477	1134	1114	1260	2831	2719	1974	1285	2225
gene-SYNPCC7002_RS09585	NC_010475.1	1998437	1999792	-	1356	7205	6166	7441	16088	15064	11913	8403	13590
gene-SYNPCC7002_RS09590	NC_010475.1	2000073	2000342	+	270	1030	778	780	1690	3191	1780	1288	2156
gene-SYNPCC7002_RS09595	NC_010475.1	2000388	2001056	+	669	1056	843	988	1821	3482	2084	1662	2690
gene-SYNPCC7002_RS09600	NC_010475.1	2001475	2002068	+	594	33885	29918	37187	70206	57638	45858	31810	53380
gene-SYNPCC7002_RS09605	NC_010475.1	2002223	2003032	+	810	5864	4849	5689	11154	8966	6658	4831	7968
gene-SYNPCC7002_RS09610	NC_010475.1	2003029	2004186	+	1158	2961	2368	2590	5540	4918	3697	2516	3915
gene-SYNPCC7002_RS09615	NC_010475.1	2004278	2005294	+	1017	11779	9926	11314	20306	19111	15035	10783	17519
gene-SYNPCC7002_RS09620	NC_010475.1	2005441	2007198	+	1758	18166	18071	19542	38358	38649	30779	22531	39022
gene-SYNPCC7002_RS09625	NC_010475.1	2007252	2008280	+	1029	853	744	859	1824	2317	1686	1064	2004
gene-SYNPCC7002_RS09630	NC_010475.1	2008610	2009389	+	780	5035	5427	5265	11458	15933	15772	11430	20593
gene-SYNPCC7002_RS09635	NC_010475.1	2009390	2010370	-	981	2941	2630	2704	6131	7522	5502	4122	6606
gene-SYNPCC7002_RS09640	NC_010475.1	2010492	2012726	-	2235	4801	4311	4618	9926	12889	10841	7464	12405
gene-SYNPCC7002_RS09645	NC_010475.1	2012923	2013126	-	204	45709	38369	49754	95497	61004	56969	48362	69915
gene-SYNPCC7002_RS09650	NC_010475.1	2013352	2013837	-	486	415639	363941	386308	766326	537139	485611	345732	643480
gene-SYNPCC7002_RS09655	NC_010475.1	2013921	2014406	-	486	521236	463809	494428	965664	673547	617467	427563	836567
gene-SYNPCC7002_RS09660	NC_010475.1	2014872	2015732	-	861	916	782	878	1647	1925	1268	951	1404
gene-SYNPCC7002_RS09665	NC_010475.1	2015991	2016170	+	180	410	343	438	1159	1903	1001	729	904
gene-SYNPCC7002_RS09670	NC_010475.1	2016420	2017292	+	873	2949	2596	3283	6781	11566	8187	5465	10250
gene-SYNPCC7002_RS09675	NC_010475.1	2017461	2018876	+	1416	14674	10792	12988	26786	73018	24660	16009	26894
gene-SYNPCC7002_RS09680	NC_010475.1	2019013	2019954	+	942	10547	8933	9500	21006	27874	13210	9479	16117
gene-SYNPCC7002_RS09685	NC_010475.1	2020015	2020410	-	396	358	351	362	771	809	730	560	796
gene-SYNPCC7002_RS09690	NC_010475.1	2020730	2023246	+	2517	2858	2244	2498	4968	4370	2931	2206	3168
gene-SYNPCC7002_RS09695	NC_010475.1	2023221	2023412	-	192	225	238	314	499	718	519	288	518
gene-SYNPCC7002_RS09700	NC_010475.1	2023517	2024338	+	822	1248	985	1130	2163	2798	2265	1521	2748
gene-SYNPCC7002_RS09705	NC_010475.1	2024389	2024616	+	228	1659	1731	1767	3654	1469	1808	1310	2363
gene-SYNPCC7002_RS09710	NC_010475.1	2025000	2025323	+	324	998	854	1013	2078	1259	1150	912	1592
gene-SYNPCC7002_RS09715	NC_010475.1	2025320	2026213	-	894	1030	971	934	1842	5388	4189	2635	5111
gene-SYNPCC7002_RS09720	NC_010475.1	2026351	2026764	+	414	177	184	179	386	498	428	286	479
gene-SYNPCC7002_RS09725	NC_010475.1	2026811	2027407	+	597	715	530	623	1284	1922	1531	1006	1755
gene-SYNPCC7002_RS09730	NC_010475.1	2027487	2028143	+	657	552	437	507	1258	2303	1608	1060	1742
gene-SYNPCC7002_RS09735	NC_010475.1	2028174	2028638	+	465	348	308	303	598	1333	1097	813	1095
gene-SYNPCC7002_RS09740	NC_010475.1	2028727	2029938	+	1212	3253	2700	3069	6351	9332	6594	4277	7632
gene-SYNPCC7002_RS09745	NC_010475.1	2030029	2030547	+	519	6499	5726	6526	13574	20662	15514	10476	19358
gene-SYNPCC7002_RS09750	NC_010475.1	2030606	2031496	+	891	14398	12283	14642	31373	49497	35564	24520	46112
gene-SYNPCC7002_RS09755	NC_010475.1	2031591	2032772	+	1182	1595	1381	1643	3550	3864	2844	1897	3469
gene-SYNPCC7002_RS09760	NC_010475.1	2032718	2033491	-	774	3631	2808	2959	6138	2776	2071	1670	2599
gene-SYNPCC7002_RS09765	NC_010475.1	2033605	2034921	-	1317	949	903	919	1966	1264	1040	710	1274
gene-SYNPCC7002_RS09770	NC_010475.1	2035201	2035530	+	330	7476	6879	7700	15046	24193	16469	14727	18330
gene-SYNPCC7002_RS09775	NC_010475.1	2035699	2036238	-	540	2977	2728	2991	5923	5711	4139	3013	5070
gene-SYNPCC7002_RS09780	NC_010475.1	2036323	2037033	+	711	2037	2064	1996	4442	4875	3541	2800	4029
gene-SYNPCC7002_RS09785	NC_010475.1	2037070	2038014	+	945	1491	1318	1430	2904	3150	2324	1635	2619
gene-SYNPCC7002_RS09790	NC_010475.1	2038090	2038746	-	657	35077	29789	34794	76010	43198	34404	25231	47178
gene-SYNPCC7002_RS09795	NC_010475.1	2038796	2039566	-	771	45873	38102	43535	86547	51231	40961	29867	53567
gene-SYNPCC7002_RS16705	NC_010475.1	2039724	2039882	+	159	40	25	33	93	41	51	33	64
gene-SYNPCC7002_RS09800	NC_010475.1	2040185	2042404	+	2220	1688413	1431704	1596676	2780403	2216412	1805269	1275760	2330798
gene-SYNPCC7002_RS09805	NC_010475.1	2042579	2044780	+	2202	1649273	1382857	1521367	2654388	2208968	1658502	1173767	2163577
gene-SYNPCC7002_RS09810	NC_010475.1	2044976	2047177	+	2202	6294	5061	5982	11707	14965	9795	6830	11778
gene-SYNPCC7002_RS09815	NC_010475.1	2047314	2048435	+	1122	3657	3355	3621	7514	8523	6025	4194	7220
gene-SYNPCC7002_RS09820	NC_010475.1	2048702	2048980	+	279	16104	16239	17151	37109	32272	26834	19295	30333
gene-SYNPCC7002_RS09825	NC_010475.1	2049089	2050204	-	1116	4860	3838	4156	8861	11801	7186	5561	8845
gene-SYNPCC7002_RS09830	NC_010475.1	2050290	2051060	+	771	956	747	904	1715	2445	1769	1215	2134
gene-SYNPCC7002_RS09835	NC_010475.1	2051136	2052101	+	966	5639	4747	5323	9555	11313	8663	6133	8694
gene-SYNPCC7002_RS09840	NC_010475.1	2052360	2052914	+	555	5187	4871	5116	11487	9794	9149	6035	10036
gene-SYNPCC7002_RS09845	NC_010475.1	2053015	2053671	+	657	4697	4321	4923	10089	16561	11006	7359	13476
gene-SYNPCC7002_RS09850	NC_010475.1	2053675	2054250	+	576	1973	1862	2376	4891	10286	6130	4038	7669
gene-SYNPCC7002_RS09855	NC_010475.1	2054518	2056122	+	1605	20132	13294	15076	31031	105869	25406	16830	25476
gene-SYNPCC7002_RS09860	NC_010475.1	2056254	2056775	-	522	1022	932	1047	2161	5007	3300	2093	3923
gene-SYNPCC7002_RS09865	NC_010475.1	2056955	2058292	+	1338	1362	913	1164	2575	2908	1607	1171	1773
gene-SYNPCC7002_RS09870	NC_010475.1	2058281	2059507	-	1227	1633	1282	1361	3100	2313	1948	1465	1968
gene-SYNPCC7002_RS09875	NC_010475.1	2059517	2061295	-	1779	6788	5108	5972	12331	9487	7688	6112	8221
gene-SYNPCC7002_RS09880	NC_010475.1	2061341	2062147	-	807	1338	1034	1295	2504	2262	1932	1650	1970
gene-SYNPCC7002_RS09885	NC_010475.1	2062148	2065426	-	3279	7393	5461	6284	12233	16119	11417	8795	12640
gene-SYNPCC7002_RS09890	NC_010475.1	2065818	2065891	-	74	0	2	0	6	6	0	4	0
gene-SYNPCC7002_RS09895	NC_010475.1	2066036	2066539	+	504	8257	7033	7264	16511	23634	15270	10968	17909
gene-SYNPCC7002_RS09900	NC_010475.1	2066583	2067017	+	435	4040	3437	3464	7793	12087	7943	5449	9175
gene-SYNPCC7002_RS09905	NC_010475.1	2067102	2067593	+	492	2759	2353	2413	5658	8310	5336	4076	7073
gene-SYNPCC7002_RS09910	NC_010475.1	2067590	2068540	-	951	2491	1926	2119	4406	8670	6814	4428	7745
gene-SYNPCC7002_RS09915	NC_010475.1	2068680	2069291	-	612	3795	2836	2913	6992	18538	14746	9143	17328
gene-SYNPCC7002_RS09920	NC_010475.1	2069386	2069709	+	324	1777	1805	1913	3751	7249	5436	3589	5368
gene-SYNPCC7002_RS09925	NC_010475.1	2069770	2070294	+	525	9251	8019	8566	19281	26737	20123	13356	24650
gene-SYNPCC7002_RS09930	NC_010475.1	2070390	2071232	-	843	242	224	244	386	367	302	257	310
gene-SYNPCC7002_RS09935	NC_010475.1	2071309	2072706	-	1398	175	183	189	371	333	233	182	276
gene-SYNPCC7002_RS09940	NC_010475.1	2072846	2073598	-	753	169	152	114	266	285	141	156	238
gene-SYNPCC7002_RS09945	NC_010475.1	2073645	2074721	-	1077	210	184	202	390	358	319	220	398
gene-SYNPCC7002_RS09950	NC_010475.1	2074887	2075288	+	402	232	290	291	624	784	542	351	592
gene-SYNPCC7002_RS09955	NC_010475.1	2075293	2076027	-	735	1198	1039	984	2135	2449	1914	1358	2087
gene-SYNPCC7002_RS09960	NC_010475.1	2076061	2076762	-	702	340	316	382	794	1071	728	561	788
gene-SYNPCC7002_RS09965	NC_010475.1	2076763	2077539	-	777	453	371	460	965	1386	914	661	1024
gene-SYNPCC7002_RS09970	NC_010475.1	2077747	2078496	+	750	8994	7292	8085	18168	17050	10533	7344	13081
gene-SYNPCC7002_RS09975	NC_010475.1	2078541	2078939	-	399	120	99	106	210	416	327	194	370
gene-SYNPCC7002_RS09980	NC_010475.1	2078942	2079136	-	195	72	75	85	198	299	196	150	227
gene-SYNPCC7002_RS09985	NC_010475.1	2079353	2080933	-	1581	19848	18929	21579	39750	22356	30381	20678	38623
gene-SYNPCC7002_RS09990	NC_010475.1	2081253	2081609	+	357	223	192	211	519	624	514	303	555
gene-SYNPCC7002_RS09995	NC_010475.1	2081724	2082770	+	1047	2246	1829	2043	4141	5562	4629	3498	5342
gene-SYNPCC7002_RS10000	NC_010475.1	2082875	2083432	+	558	619	512	596	1317	1734	1455	862	1786
gene-SYNPCC7002_RS10005	NC_010475.1	2083677	2084240	+	564	515	394	477	1230	1065	817	597	853
gene-SYNPCC7002_RS10010	NC_010475.1	2084256	2084648	-	393	1385	1071	1167	2708	3426	2248	1493	2748
gene-SYNPCC7002_RS16170	NC_010475.1	2084989	2085483	+	495	1371	1208	1254	2959	4229	3444	2230	4193
gene-SYNPCC7002_RS10020	NC_010475.1	2085601	2088261	-	2661	283564	241258	263441	500130	235870	270066	202936	357126
gene-SYNPCC7002_RS10025	NC_010475.1	2088541	2089740	+	1200	4743	4078	3996	8066	9264	10967	8438	13856
gene-SYNPCC7002_RS10030	NC_010475.1	2089751	2089963	+	213	340	313	300	659	710	879	736	1086
