Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product
gene-SYNPCC7002_RS07950	NC_010475.1	1667323	1668519	-	protein-coding	SYNPCC7002_RS07950	SYNPCC7002_RS07950	SYNPCC7002_A1585	phosphoglycerate kinase
gene-SYNPCC7002_RS07955	NC_010475.1	1668678	1669082	+	protein-coding	SYNPCC7002_RS07955	SYNPCC7002_RS07955	SYNPCC7002_A1587	universal stress protein
gene-SYNPCC7002_RS07960	NC_010475.1	1669555	1670109	+	protein-coding	SYNPCC7002_RS07960	SYNPCC7002_RS07960	SYNPCC7002_A1588	hypothetical protein
gene-SYNPCC7002_RS16455	NC_010475.1	1670346	1670591	-	protein-coding	psaC	SYNPCC7002_RS16455	SYNPCC7002_A1589	photosystem I iron-sulfur center protein PsaC
gene-SYNPCC7002_RS07965	NC_010475.1	1670846	1671424	+	protein-coding	SYNPCC7002_RS07965	SYNPCC7002_RS07965	SYNPCC7002_A1590	DUF1997 domain-containing protein
gene-SYNPCC7002_RS17225	NC_010475.1	1671579	1671701	+	protein-coding	SYNPCC7002_RS17225	SYNPCC7002_RS17225	SYNPCC7002_A1591	membrane protein
gene-SYNPCC7002_RS07975	NC_010475.1	1671832	1673484	+	protein-coding	SYNPCC7002_RS07975	SYNPCC7002_RS07975	SYNPCC7002_A1592	MBL fold metallo-hydrolase
gene-SYNPCC7002_RS07980	NC_010475.1	1673481	1673795	-	protein-coding	SYNPCC7002_RS07980	SYNPCC7002_RS07980	SYNPCC7002_A1593	hypothetical protein
gene-SYNPCC7002_RS07985	NC_010475.1	1673880	1674767	-	protein-coding	SYNPCC7002_RS07985	SYNPCC7002_RS07985	SYNPCC7002_A1594	alpha/beta hydrolase
gene-SYNPCC7002_RS07990	NC_010475.1	1674854	1675576	-	protein-coding	SYNPCC7002_RS07990	SYNPCC7002_RS07990	SYNPCC7002_A1595	hypothetical protein
gene-SYNPCC7002_RS07995	NC_010475.1	1675812	1676318	+	protein-coding	SYNPCC7002_RS07995	SYNPCC7002_RS07995	SYNPCC7002_A1596	GNAT family N-acetyltransferase
gene-SYNPCC7002_RS08000	NC_010475.1	1676372	1676445	+	tRNA	SYNPCC7002_RS08000	SYNPCC7002_RS08000	SYNPCC7002_A1597	tRNA-Pro
gene-SYNPCC7002_RS08005	NC_010475.1	1676854	1677696	+	protein-coding	SYNPCC7002_RS08005	SYNPCC7002_RS08005	SYNPCC7002_A1598	hypothetical protein
gene-SYNPCC7002_RS08010	NC_010475.1	1677718	1678593	+	protein-coding	prmC	SYNPCC7002_RS08010	SYNPCC7002_A1599	peptide chain release factor N(5)-glutamine methyltransferase
gene-SYNPCC7002_RS08015	NC_010475.1	1678748	1680370	+	protein-coding	SYNPCC7002_RS08015	SYNPCC7002_RS08015	SYNPCC7002_A1600	hypothetical protein
gene-SYNPCC7002_RS08020	NC_010475.1	1680363	1680872	+	protein-coding	SYNPCC7002_RS08020	SYNPCC7002_RS08020	SYNPCC7002_A1601	type II secretion system GspH family protein
gene-SYNPCC7002_RS08025	NC_010475.1	1680891	1681433	+	protein-coding	SYNPCC7002_RS08025	SYNPCC7002_RS08025	SYNPCC7002_A1602	type II secretion system GspH family protein
gene-SYNPCC7002_RS08030	NC_010475.1	1681544	1684012	+	protein-coding	SYNPCC7002_RS08030	SYNPCC7002_RS08030	SYNPCC7002_A1603	prepilin-type N-terminal cleavage/methylation domain-containing protein
gene-SYNPCC7002_RS08035	NC_010475.1	1684200	1684724	+	protein-coding	SYNPCC7002_RS08035	SYNPCC7002_RS08035	SYNPCC7002_A1604	prepilin-type N-terminal cleavage/methylation domain-containing protein
gene-SYNPCC7002_RS08040	NC_010475.1	1684812	1685270	-	protein-coding	psbQ	SYNPCC7002_RS08040	SYNPCC7002_A1605	photosystem II protein PsbQ
gene-SYNPCC7002_RS08045	NC_010475.1	1685394	1686245	-	protein-coding	SYNPCC7002_RS08045	SYNPCC7002_RS08045	SYNPCC7002_A1606	alpha/beta fold hydrolase
gene-SYNPCC7002_RS08050	NC_010475.1	1686370	1687467	+	protein-coding	mraY	SYNPCC7002_RS08050	SYNPCC7002_A1607	phospho-N-acetylmuramoyl-pentapeptide-transferase
gene-SYNPCC7002_RS08055	NC_010475.1	1687524	1689329	+	protein-coding	mrdA	SYNPCC7002_RS08055	SYNPCC7002_A1608	penicillin-binding protein 2
gene-SYNPCC7002_RS08060	NC_010475.1	1689429	1690604	+	protein-coding	tyrS	SYNPCC7002_RS08060	SYNPCC7002_A1609	tyrosine--tRNA ligase
gene-SYNPCC7002_RS08065	NC_010475.1	1690751	1691716	+	protein-coding	hemC	SYNPCC7002_RS08065	SYNPCC7002_A1610	hydroxymethylbilane synthase
gene-SYNPCC7002_RS16685	NC_010475.1	1691778	1691954	-	protein-coding	SYNPCC7002_RS16685	SYNPCC7002_RS16685	NA	hypothetical protein
gene-SYNPCC7002_RS08070	NC_010475.1	1692224	1692829	+	protein-coding	SYNPCC7002_RS08070	SYNPCC7002_RS08070	SYNPCC7002_A1611	GNAT family N-acetyltransferase
gene-SYNPCC7002_RS08075	NC_010475.1	1692894	1693367	+	protein-coding	SYNPCC7002_RS08075	SYNPCC7002_RS08075	SYNPCC7002_A1612	hypothetical protein
gene-SYNPCC7002_RS16135	NC_010475.1	1693452	1693910	+	protein-coding	SYNPCC7002_RS16135	SYNPCC7002_RS16135	SYNPCC7002_A1613	hypothetical protein
gene-SYNPCC7002_RS08085	NC_010475.1	1693998	1694321	-	protein-coding	trxA	SYNPCC7002_RS08085	SYNPCC7002_A1614	thioredoxin
gene-SYNPCC7002_RS08090	NC_010475.1	1694819	1696009	+	protein-coding	SYNPCC7002_RS08090	SYNPCC7002_RS08090	SYNPCC7002_A1615	glycosyltransferase family 4 protein
gene-SYNPCC7002_RS08095	NC_010475.1	1696019	1697530	-	protein-coding	ilvA	SYNPCC7002_RS08095	SYNPCC7002_A1616	threonine ammonia-lyase, biosynthetic
gene-SYNPCC7002_RS08100	NC_010475.1	1697612	1697935	-	protein-coding	SYNPCC7002_RS08100	SYNPCC7002_RS08100	SYNPCC7002_A1617	hypothetical protein
gene-SYNPCC7002_RS08105	NC_010475.1	1698238	1699302	-	protein-coding	SYNPCC7002_RS08105	SYNPCC7002_RS08105	SYNPCC7002_A1618	anthranilate phosphoribosyltransferase family protein
gene-SYNPCC7002_RS08110	NC_010475.1	1699378	1700559	-	protein-coding	SYNPCC7002_RS08110	SYNPCC7002_RS08110	SYNPCC7002_A1619	HEAT repeat domain-containing protein
gene-SYNPCC7002_RS08115	NC_010475.1	1700682	1701500	-	protein-coding	SYNPCC7002_RS08115	SYNPCC7002_RS08115	SYNPCC7002_A1620	Dam family site-specific DNA-(adenine-N6)-methyltransferase
gene-SYNPCC7002_RS08120	NC_010475.1	1701580	1701954	-	protein-coding	SYNPCC7002_RS08120	SYNPCC7002_RS08120	SYNPCC7002_A1621	group 1 truncated hemoglobin
gene-SYNPCC7002_RS08125	NC_010475.1	1702007	1703443	-	protein-coding	ffh	SYNPCC7002_RS08125	SYNPCC7002_A1622	signal recognition particle protein
gene-SYNPCC7002_RS08130	NC_010475.1	1703613	1705112	+	protein-coding	crtD	SYNPCC7002_RS08130	SYNPCC7002_A1623	C-3',4' desaturase CrtD
gene-SYNPCC7002_RS08135	NC_010475.1	1705109	1705654	-	protein-coding	SYNPCC7002_RS08135	SYNPCC7002_RS08135	SYNPCC7002_A1624	hypothetical protein
gene-SYNPCC7002_RS08140	NC_010475.1	1705647	1705886	-	protein-coding	SYNPCC7002_RS08140	SYNPCC7002_RS08140	SYNPCC7002_A1625	hypothetical protein
gene-SYNPCC7002_RS08145	NC_010475.1	1705992	1706609	+	protein-coding	SYNPCC7002_RS08145	SYNPCC7002_RS08145	SYNPCC7002_A1626	peptidylprolyl isomerase
gene-SYNPCC7002_RS08150	NC_010475.1	1706726	1707451	+	protein-coding	urtE	SYNPCC7002_RS08150	SYNPCC7002_A1627	urea ABC transporter ATP-binding subunit UrtE
gene-SYNPCC7002_RS08155	NC_010475.1	1707448	1708350	-	protein-coding	SYNPCC7002_RS08155	SYNPCC7002_RS08155	SYNPCC7002_A1628	histone deacetylase
gene-SYNPCC7002_RS08160	NC_010475.1	1708616	1708903	+	protein-coding	SYNPCC7002_RS08160	SYNPCC7002_RS08160	SYNPCC7002_A1629	RNA-binding protein
gene-SYNPCC7002_RS08165	NC_010475.1	1709023	1710444	-	protein-coding	glnA	SYNPCC7002_RS08165	SYNPCC7002_A1630	type I glutamate--ammonia ligase
gene-SYNPCC7002_RS08170	NC_010475.1	1711017	1711526	+	protein-coding	apcB	SYNPCC7002_RS08170	SYNPCC7002_A1631	allophycocyanin subunit beta
gene-SYNPCC7002_RS08175	NC_010475.1	1711634	1712551	-	protein-coding	SYNPCC7002_RS08175	SYNPCC7002_RS08175	SYNPCC7002_A1632	LysR family transcriptional regulator
gene-SYNPCC7002_RS08185	NC_010475.1	1712780	1713952	+	protein-coding	SYNPCC7002_RS08185	SYNPCC7002_RS08185	SYNPCC7002_A1634	S-layer homology domain-containing protein
gene-SYNPCC7002_RS08190	NC_010475.1	1713942	1714724	-	protein-coding	hisF	SYNPCC7002_RS08190	SYNPCC7002_A1636	imidazole glycerol phosphate synthase subunit HisF
gene-SYNPCC7002_RS08195	NC_010475.1	1714930	1715226	+	protein-coding	SYNPCC7002_RS08195	SYNPCC7002_RS08195	SYNPCC7002_A1637	hypothetical protein
gene-SYNPCC7002_RS08200	NC_010475.1	1715223	1716815	-	protein-coding	SYNPCC7002_RS08200	SYNPCC7002_RS08200	SYNPCC7002_A1638	SpoIID/LytB domain-containing protein
gene-SYNPCC7002_RS08205	NC_010475.1	1716878	1720096	-	protein-coding	SYNPCC7002_RS08205	SYNPCC7002_RS08205	SYNPCC7002_A1639	response regulator
gene-SYNPCC7002_RS08210	NC_010475.1	1720237	1720989	+	protein-coding	SYNPCC7002_RS08210	SYNPCC7002_RS08210	SYNPCC7002_A1640	YebC/PmpR family DNA-binding transcriptional regulator
gene-SYNPCC7002_RS08215	NC_010475.1	1721145	1722383	+	protein-coding	SYNPCC7002_RS08215	SYNPCC7002_RS08215	SYNPCC7002_A1641	GAF domain-containing sensor histidine kinase
gene-SYNPCC7002_RS08220	NC_010475.1	1722380	1723225	-	protein-coding	dapF	SYNPCC7002_RS08220	SYNPCC7002_A1642	diaminopimelate epimerase
gene-SYNPCC7002_RS08225	NC_010475.1	1723267	1723476	+	protein-coding	SYNPCC7002_RS08225	SYNPCC7002_RS08225	SYNPCC7002_A1643	hypothetical protein
gene-SYNPCC7002_RS08230	NC_010475.1	1723541	1724455	+	protein-coding	SYNPCC7002_RS08230	SYNPCC7002_RS08230	SYNPCC7002_A1644	M23 family metallopeptidase
gene-SYNPCC7002_RS08235	NC_010475.1	1724611	1726239	+	protein-coding	SYNPCC7002_RS08235	SYNPCC7002_RS08235	SYNPCC7002_A1645	AarF/ABC1/UbiB kinase family protein
gene-SYNPCC7002_RS08240	NC_010475.1	1726353	1727090	+	protein-coding	cysE	SYNPCC7002_RS08240	SYNPCC7002_A1646	serine O-acetyltransferase
gene-SYNPCC7002_RS08245	NC_010475.1	1727092	1727592	-	protein-coding	SYNPCC7002_RS08245	SYNPCC7002_RS08245	SYNPCC7002_A1647	CRR6 family NdhI maturation factor
gene-SYNPCC7002_RS08250	NC_010475.1	1727725	1728594	-	protein-coding	SYNPCC7002_RS08250	SYNPCC7002_RS08250	SYNPCC7002_A1648	ABC transporter ATP-binding protein
gene-SYNPCC7002_RS08255	NC_010475.1	1728610	1729122	-	protein-coding	SYNPCC7002_RS08255	SYNPCC7002_RS08255	SYNPCC7002_A1649	transcriptional repressor
gene-SYNPCC7002_RS16140	NC_010475.1	1729301	1730788	-	protein-coding	SYNPCC7002_RS16140	SYNPCC7002_RS16140	SYNPCC7002_A1650	AAA family ATPase
gene-SYNPCC7002_RS08265	NC_010475.1	1730843	1731247	-	protein-coding	SYNPCC7002_RS08265	SYNPCC7002_RS08265	SYNPCC7002_A1651	hypothetical protein
gene-SYNPCC7002_RS08275	NC_010475.1	1731551	1733077	+	protein-coding	bchB	SYNPCC7002_RS08275	SYNPCC7002_A1652	ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B
gene-SYNPCC7002_RS08280	NC_010475.1	1733215	1734201	+	protein-coding	fmt	SYNPCC7002_RS08280	SYNPCC7002_A1653	methionyl-tRNA formyltransferase
gene-SYNPCC7002_RS08285	NC_010475.1	1734266	1735465	-	protein-coding	SYNPCC7002_RS08285	SYNPCC7002_RS08285	SYNPCC7002_A1654	trypsin-like peptidase domain-containing protein
gene-SYNPCC7002_RS08290	NC_010475.1	1735678	1736118	-	protein-coding	SYNPCC7002_RS08290	SYNPCC7002_RS08290	SYNPCC7002_A1655	DUF29 domain-containing protein
gene-SYNPCC7002_RS08295	NC_010475.1	1736176	1737981	-	protein-coding	proS	SYNPCC7002_RS08295	SYNPCC7002_A1656	proline--tRNA ligase
gene-SYNPCC7002_RS08305	NC_010475.1	1741287	1743083	+	protein-coding	pyk	SYNPCC7002_RS08305	SYNPCC7002_A1658	pyruvate kinase
gene-SYNPCC7002_RS08310	NC_010475.1	1743235	1743696	+	protein-coding	SYNPCC7002_RS08310	SYNPCC7002_RS08310	SYNPCC7002_A1659	lipopolysaccharide assembly protein LapA domain-containing protein
gene-SYNPCC7002_RS08315	NC_010475.1	1743719	1744546	+	protein-coding	SYNPCC7002_RS08315	SYNPCC7002_RS08315	SYNPCC7002_A1660	segregation/condensation protein A
gene-SYNPCC7002_RS08320	NC_010475.1	1744536	1744868	-	protein-coding	SYNPCC7002_RS08320	SYNPCC7002_RS08320	SYNPCC7002_A1661	hypothetical protein
gene-SYNPCC7002_RS08325	NC_010475.1	1744901	1744981	-	tRNA	SYNPCC7002_RS08325	SYNPCC7002_RS08325	SYNPCC7002_A1662	tRNA-Leu
gene-SYNPCC7002_RS08330	NC_010475.1	1745114	1745890	+	protein-coding	SYNPCC7002_RS08330	SYNPCC7002_RS08330	SYNPCC7002_A1663	COP23 domain-containing protein
gene-SYNPCC7002_RS08335	NC_010475.1	1746178	1746621	+	protein-coding	SYNPCC7002_RS08335	SYNPCC7002_RS08335	SYNPCC7002_A1664	hypothetical protein
gene-SYNPCC7002_RS08340	NC_010475.1	1746691	1748313	+	protein-coding	SYNPCC7002_RS08340	SYNPCC7002_RS08340	SYNPCC7002_A1665	serine/threonine protein kinase
gene-SYNPCC7002_RS08345	NC_010475.1	1748355	1748921	-	protein-coding	SYNPCC7002_RS08345	SYNPCC7002_RS08345	SYNPCC7002_A1666	Uma2 family endonuclease
gene-SYNPCC7002_RS08350	NC_010475.1	1748971	1751262	-	protein-coding	purL	SYNPCC7002_RS08350	SYNPCC7002_A1667	phosphoribosylformylglycinamidine synthase subunit PurL
gene-SYNPCC7002_RS08355	NC_010475.1	1751324	1751545	-	protein-coding	SYNPCC7002_RS08355	SYNPCC7002_RS08355	SYNPCC7002_A1668	type II toxin-antitoxin system HicA family toxin
gene-SYNPCC7002_RS08360	NC_010475.1	1751545	1751775	-	protein-coding	SYNPCC7002_RS08360	SYNPCC7002_RS08360	SYNPCC7002_A1669	DUF1902 domain-containing protein
gene-SYNPCC7002_RS08365	NC_010475.1	1751821	1752297	+	protein-coding	SYNPCC7002_RS08365	SYNPCC7002_RS08365	SYNPCC7002_A1670	DUF29 family protein
gene-SYNPCC7002_RS08370	NC_010475.1	1752547	1753677	+	protein-coding	SYNPCC7002_RS08370	SYNPCC7002_RS08370	SYNPCC7002_A1671	site-2 protease family protein
gene-SYNPCC7002_RS08375	NC_010475.1	1753840	1756473	+	protein-coding	alaS	SYNPCC7002_RS08375	SYNPCC7002_A1672	alanine--tRNA ligase
gene-SYNPCC7002_RS08380	NC_010475.1	1756528	1756929	-	protein-coding	SYNPCC7002_RS08380	SYNPCC7002_RS08380	SYNPCC7002_A1673	pre-16S rRNA-processing nuclease YqgF
gene-SYNPCC7002_RS08385	NC_010475.1	1756944	1758314	-	protein-coding	SYNPCC7002_RS08385	SYNPCC7002_RS08385	SYNPCC7002_A1674	DUF3084 domain-containing protein
gene-SYNPCC7002_RS08390	NC_010475.1	1758367	1759098	-	protein-coding	ntcA	SYNPCC7002_RS08390	SYNPCC7002_A1675	global nitrogen regulator NtcA
gene-SYNPCC7002_RS08395	NC_010475.1	1759379	1760155	+	protein-coding	fabI	SYNPCC7002_RS08395	SYNPCC7002_A1676	enoyl-ACP reductase FabI
gene-SYNPCC7002_RS08400	NC_010475.1	1760232	1761104	+	protein-coding	rsmH	SYNPCC7002_RS08400	SYNPCC7002_A1677	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
gene-SYNPCC7002_RS08405	NC_010475.1	1761184	1762143	+	protein-coding	SYNPCC7002_RS08405	SYNPCC7002_RS08405	SYNPCC7002_A1678	DUF1311 domain-containing protein
gene-SYNPCC7002_RS08410	NC_010475.1	1762307	1762888	+	protein-coding	SYNPCC7002_RS08410	SYNPCC7002_RS08410	SYNPCC7002_A1679	Uma2 family endonuclease
gene-SYNPCC7002_RS08415	NC_010475.1	1762930	1763481	-	protein-coding	SYNPCC7002_RS08415	SYNPCC7002_RS08415	SYNPCC7002_A1680	Uma2 family endonuclease
gene-SYNPCC7002_RS08420	NC_010475.1	1763613	1764737	+	protein-coding	SYNPCC7002_RS08420	SYNPCC7002_RS08420	SYNPCC7002_A1681	THUMP domain-containing protein
gene-SYNPCC7002_RS08425	NC_010475.1	1764803	1766254	+	protein-coding	SYNPCC7002_RS08425	SYNPCC7002_RS08425	SYNPCC7002_A1682	serine/threonine protein kinase
gene-SYNPCC7002_RS08430	NC_010475.1	1766376	1768982	+	protein-coding	acnB	SYNPCC7002_RS08430	SYNPCC7002_A1683	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
gene-SYNPCC7002_RS08435	NC_010475.1	1769090	1770808	+	protein-coding	SYNPCC7002_RS08435	SYNPCC7002_RS08435	SYNPCC7002_A1684	AIPR family protein
gene-SYNPCC7002_RS08440	NC_010475.1	1770866	1771072	+	protein-coding	SYNPCC7002_RS08440	SYNPCC7002_RS08440	NA	hypothetical protein
gene-SYNPCC7002_RS08445	NC_010475.1	1771075	1771488	+	protein-coding	SYNPCC7002_RS08445	SYNPCC7002_RS08445	SYNPCC7002_A1685	PIN domain-containing protein
gene-SYNPCC7002_RS08450	NC_010475.1	1771523	1771765	+	protein-coding	SYNPCC7002_RS08450	SYNPCC7002_RS08450	SYNPCC7002_A1686	hypothetical protein
gene-SYNPCC7002_RS08455	NC_010475.1	1772049	1772315	-	protein-coding	SYNPCC7002_RS08455	SYNPCC7002_RS08455	SYNPCC7002_A1687	YggT family protein
gene-SYNPCC7002_RS08460	NC_010475.1	1772408	1772710	-	protein-coding	SYNPCC7002_RS08460	SYNPCC7002_RS08460	SYNPCC7002_A1688	hypothetical protein
gene-SYNPCC7002_RS08465	NC_010475.1	1772867	1773523	-	protein-coding	upp	SYNPCC7002_RS08465	SYNPCC7002_A1689	uracil phosphoribosyltransferase
gene-SYNPCC7002_RS08470	NC_010475.1	1773586	1774044	+	protein-coding	SYNPCC7002_RS08470	SYNPCC7002_RS08470	SYNPCC7002_A1690	molybdenum cofactor biosynthesis protein MoaE
gene-SYNPCC7002_RS08475	NC_010475.1	1774136	1775686	+	protein-coding	purH	SYNPCC7002_RS08475	SYNPCC7002_A1691	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
gene-SYNPCC7002_RS08480	NC_010475.1	1775751	1776284	-	protein-coding	pyrR	SYNPCC7002_RS08480	SYNPCC7002_A1692	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
gene-SYNPCC7002_RS08485	NC_010475.1	1776644	1776886	+	protein-coding	SYNPCC7002_RS08485	SYNPCC7002_RS08485	SYNPCC7002_A1693	hypothetical protein
gene-SYNPCC7002_RS08490	NC_010475.1	1777076	1779634	-	protein-coding	leuS	SYNPCC7002_RS08490	SYNPCC7002_A1694	leucine--tRNA ligase
gene-SYNPCC7002_RS08495	NC_010475.1	1779794	1780126	+	protein-coding	SYNPCC7002_RS08495	SYNPCC7002_RS08495	SYNPCC7002_A1695	YkvA family protein
gene-SYNPCC7002_RS08500	NC_010475.1	1780157	1780441	+	protein-coding	SYNPCC7002_RS08500	SYNPCC7002_RS08500	SYNPCC7002_A1696	DUF29 family protein
gene-SYNPCC7002_RS16145	NC_010475.1	1780640	1781227	+	protein-coding	SYNPCC7002_RS16145	SYNPCC7002_RS16145	SYNPCC7002_A1697	DUF4087 domain-containing protein
gene-SYNPCC7002_RS08510	NC_010475.1	1781448	1781744	+	protein-coding	SYNPCC7002_RS08510	SYNPCC7002_RS08510	SYNPCC7002_A1698	hypothetical protein
gene-SYNPCC7002_RS08515	NC_010475.1	1781772	1783505	+	protein-coding	SYNPCC7002_RS08515	SYNPCC7002_RS08515	SYNPCC7002_A1699	tetratricopeptide repeat protein
gene-SYNPCC7002_RS08520	NC_010475.1	1783657	1784421	+	protein-coding	SYNPCC7002_RS08520	SYNPCC7002_RS08520	SYNPCC7002_A1700	PD-(D/E)XK nuclease family protein
gene-SYNPCC7002_RS08525	NC_010475.1	1784463	1786079	+	protein-coding	prfC	SYNPCC7002_RS08525	SYNPCC7002_A1701	peptide chain release factor 3
gene-SYNPCC7002_RS08530	NC_010475.1	1786101	1786709	+	protein-coding	SYNPCC7002_RS08530	SYNPCC7002_RS08530	SYNPCC7002_A1702	TerD family protein
gene-SYNPCC7002_RS08535	NC_010475.1	1786718	1787809	-	protein-coding	gcvT	SYNPCC7002_RS08535	SYNPCC7002_A1703	glycine cleavage system aminomethyltransferase GcvT
gene-SYNPCC7002_RS08540	NC_010475.1	1787854	1790082	-	protein-coding	SYNPCC7002_RS08540	SYNPCC7002_RS08540	SYNPCC7002_A1704	DNA polymerase III subunit gamma/tau
gene-SYNPCC7002_RS08545	NC_010475.1	1790253	1791401	+	protein-coding	SYNPCC7002_RS08545	SYNPCC7002_RS08545	SYNPCC7002_A1705	tetratricopeptide repeat protein
gene-SYNPCC7002_RS08550	NC_010475.1	1791456	1792337	+	protein-coding	rnhA	SYNPCC7002_RS08550	SYNPCC7002_A1706	ribonuclease HI
gene-SYNPCC7002_RS08555	NC_010475.1	1792321	1793817	+	protein-coding	SYNPCC7002_RS08555	SYNPCC7002_RS08555	SYNPCC7002_A1707	DEAD/DEAH box helicase family protein
gene-SYNPCC7002_RS08560	NC_010475.1	1793995	1794663	+	protein-coding	phoU	SYNPCC7002_RS08560	SYNPCC7002_A1708	phosphate signaling complex protein PhoU
gene-SYNPCC7002_RS08565	NC_010475.1	1794798	1795469	-	protein-coding	SYNPCC7002_RS08565	SYNPCC7002_RS08565	SYNPCC7002_A1709	L-threonylcarbamoyladenylate synthase
gene-SYNPCC7002_RS08570	NC_010475.1	1795483	1796727	+	protein-coding	larC	SYNPCC7002_RS08570	SYNPCC7002_A1710	nickel pincer cofactor biosynthesis protein LarC
gene-SYNPCC7002_RS08575	NC_010475.1	1796757	1797947	-	protein-coding	SYNPCC7002_RS08575	SYNPCC7002_RS08575	SYNPCC7002_A1711	hypothetical protein
gene-SYNPCC7002_RS08580	NC_010475.1	1798118	1798537	-	protein-coding	SYNPCC7002_RS08580	SYNPCC7002_RS08580	SYNPCC7002_A1712	hypothetical protein
gene-SYNPCC7002_RS08585	NC_010475.1	1799334	1800533	+	protein-coding	SYNPCC7002_RS08585	SYNPCC7002_RS08585	SYNPCC7002_A1713	YihY/virulence factor BrkB family protein
gene-SYNPCC7002_RS08590	NC_010475.1	1800572	1801825	-	protein-coding	metK	SYNPCC7002_RS08590	SYNPCC7002_A1714	methionine adenosyltransferase
gene-SYNPCC7002_RS08595	NC_010475.1	1801959	1802951	-	protein-coding	galE	SYNPCC7002_RS08595	SYNPCC7002_A1715	UDP-glucose 4-epimerase GalE
gene-SYNPCC7002_RS08600	NC_010475.1	1803041	1803388	-	protein-coding	SYNPCC7002_RS08600	SYNPCC7002_RS08600	SYNPCC7002_A1716	hypothetical protein
gene-SYNPCC7002_RS08605	NC_010475.1	1803521	1804111	+	protein-coding	SYNPCC7002_RS08605	SYNPCC7002_RS08605	SYNPCC7002_A1717	DUF3727 domain-containing protein
gene-SYNPCC7002_RS08610	NC_010475.1	1804101	1805189	+	protein-coding	mltG	SYNPCC7002_RS08610	SYNPCC7002_A1718	endolytic transglycosylase MltG
gene-SYNPCC7002_RS08615	NC_010475.1	1805210	1806097	+	protein-coding	SYNPCC7002_RS08615	SYNPCC7002_RS08615	SYNPCC7002_A1719	MnmC family methyltransferase
gene-SYNPCC7002_RS08620	NC_010475.1	1806069	1807199	-	protein-coding	SYNPCC7002_RS08620	SYNPCC7002_RS08620	SYNPCC7002_A1720	ABC transporter permease
gene-SYNPCC7002_RS08625	NC_010475.1	1807210	1808316	-	protein-coding	SYNPCC7002_RS08625	SYNPCC7002_RS08625	SYNPCC7002_A1721	ABC transporter permease
gene-SYNPCC7002_RS08630	NC_010475.1	1808320	1810281	-	protein-coding	SYNPCC7002_RS08630	SYNPCC7002_RS08630	SYNPCC7002_A1722	ATP-binding cassette domain-containing protein
gene-SYNPCC7002_RS08635	NC_010475.1	1810284	1811525	-	protein-coding	SYNPCC7002_RS08635	SYNPCC7002_RS08635	SYNPCC7002_A1723	efflux RND transporter periplasmic adaptor subunit
gene-SYNPCC7002_RS08640	NC_010475.1	1811680	1812432	+	protein-coding	SYNPCC7002_RS08640	SYNPCC7002_RS08640	SYNPCC7002_A1724	hypothetical protein
gene-SYNPCC7002_RS08645	NC_010475.1	1812429	1812812	+	protein-coding	SYNPCC7002_RS08645	SYNPCC7002_RS08645	SYNPCC7002_A1725	hypothetical protein
gene-SYNPCC7002_RS08650	NC_010475.1	1812815	1813447	+	protein-coding	SYNPCC7002_RS08650	SYNPCC7002_RS08650	SYNPCC7002_A1726	hypothetical protein
gene-SYNPCC7002_RS08655	NC_010475.1	1813667	1815550	+	protein-coding	SYNPCC7002_RS08655	SYNPCC7002_RS08655	SYNPCC7002_A1727	protein kinase
gene-SYNPCC7002_RS08660	NC_010475.1	1815589	1816683	+	protein-coding	ychF	SYNPCC7002_RS08660	SYNPCC7002_A1728	redox-regulated ATPase YchF
gene-SYNPCC7002_RS08665	NC_010475.1	1816688	1817464	+	protein-coding	SYNPCC7002_RS08665	SYNPCC7002_RS08665	SYNPCC7002_A1729	hypothetical protein
gene-SYNPCC7002_RS08670	NC_010475.1	1817533	1818399	+	protein-coding	SYNPCC7002_RS08670	SYNPCC7002_RS08670	SYNPCC7002_A1730	shikimate dehydrogenase
gene-SYNPCC7002_RS08675	NC_010475.1	1818527	1819168	+	protein-coding	SYNPCC7002_RS08675	SYNPCC7002_RS08675	SYNPCC7002_A1731	hypothetical protein
gene-SYNPCC7002_RS08680	NC_010475.1	1819180	1819815	-	protein-coding	SYNPCC7002_RS08680	SYNPCC7002_RS08680	SYNPCC7002_A1732	Sua5/YciO/YrdC/YwlC family protein
gene-SYNPCC7002_RS08685	NC_010475.1	1819974	1820837	-	protein-coding	SYNPCC7002_RS08685	SYNPCC7002_RS08685	SYNPCC7002_A1733	metal ABC transporter permease
gene-SYNPCC7002_RS08690	NC_010475.1	1820834	1821631	-	protein-coding	SYNPCC7002_RS08690	SYNPCC7002_RS08690	SYNPCC7002_A1734	metal ABC transporter ATP-binding protein
gene-SYNPCC7002_RS08700	NC_010475.1	1822863	1823321	+	protein-coding	SYNPCC7002_RS08700	SYNPCC7002_RS08700	SYNPCC7002_A1736	tetratricopeptide repeat protein
gene-SYNPCC7002_RS08705	NC_010475.1	1823332	1825617	-	protein-coding	recJ	SYNPCC7002_RS08705	SYNPCC7002_A1737	single-stranded-DNA-specific exonuclease RecJ
